"","District.ID","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"1","Adilabad","Andhra Pradesh",1914,5289.82,5128.238,1914,3846.1785,0
"2","Agra","Uttar Pradesh",1914,4057.36,3700.588,1914,2775.441,0
"3","Ahmadabad","Gujarat",1914,2857.42,2529.921,1914,1897.44075,0
"4","Ahmednagar","Maharashtra",1914,5399.64,5264.665,1914,3948.49875,0
"5","Aizawl","Mizoram",1914,9831.55,10645.944,1914,7984.458,0
"6","Ajmer","Rajasthan",1914,3090.38,2890.393,1914,2167.79475,0
"7","Akola","Maharashtra",1914,4903.53,4656.088,1914,3492.066,0
"8","Alappuzha","Kerala",1914,1.35,1.411,1914,1.05825,0
"9","Aligarh","Uttar Pradesh",1914,3800.74,3533.768,1914,2650.326,0
"10","Allahabad","Uttar Pradesh",1914,5343.27,5320.344,1914,3990.258,0
"11","Almora","Uttaranchal",1914,5412,4858.008,1914,3643.506,0
"12","Alwar","Rajasthan",1914,3676.04,3281.551,1914,2461.16325,0
"13","Ambala","Haryana",1914,3099.07,2858.283,1914,2143.71225,0
"14","Ambedkar Nagar","Uttar Pradesh",1914,4578.59,4508.783,1914,3381.58725,0
"15","Amravati","Maharashtra",1914,4842.57,4698.003,1914,3523.50225,0
"16","Amreli","Gujarat",1914,3252.39,2737.546,1914,2053.1595,0
"17","Amritsar","Punjab",1914,5022.2,3803.482,1914,2852.6115,0
"18","Anand","Gujarat",1914,3568.87,3315.42,1914,2486.565,0
"19","Anantapur","Andhra Pradesh",1914,4208.08,4286.933,1914,3215.19975,0
"20","Anantnag (Kashmir South)","Jammu and Kashmir",1914,8514.66,6797.336,1914,5098.002,0
"21","Andaman Islands","Andaman and Nicobar",1914,1012.72,991.539,1914,743.65425,0
"22","Angul","Orissa",1914,6130.67,6456.289,1914,4842.21675,0
"23","Araria","Bihar",1914,5509.03,5608.501,1914,4206.37575,0
"24","Ariyalur","Tamil Nadu",1914,4939.83,4470.663,1914,3352.99725,0
"25","Auraiya","Uttar Pradesh",1914,3981.77,3667.306,1914,2750.4795,0
"26","Aurangabad (Bihar)","Bihar",1914,5407.72,5657.908,1914,4243.431,0
"27","Aurangabad (Maharashtra)","Maharashtra",1914,4330.63,4119.296,1914,3089.472,0
"28","Azamgarh","Uttar Pradesh",1914,4698.27,4749.885,1914,3562.41375,0
"29","Badaun","Uttar Pradesh",1914,3992.37,3754.158,1914,2815.6185,0
"30","Bagalkot","Karnataka",1914,6331.44,5871.157,1914,4403.36775,0
"31","Bagdam","Jammu and Kashmir",1914,9606.47,7530.179,1914,5647.63425,0
"32","Bageshwar","Uttaranchal",1914,7527.78,6711.228,1914,5033.421,0
"33","Baghpat","Uttar Pradesh",1914,3347.21,2989.758,1914,2242.3185,0
"34","Bahraich","Uttar Pradesh",1914,5081.34,4673.499,1914,3505.12425,0
"35","Balaghat","Madhya Pradesh",1914,5923.82,6218.307,1914,4663.73025,0
"36","Baleshwar","Orissa",1914,6615.3,7046.738,1914,5285.0535,0
"37","Ballia","Uttar Pradesh",1914,4568.01,4647.588,1914,3485.691,0
"38","Balrampur","Uttar Pradesh",1914,5160.42,4839.65,1914,3629.7375,0
"39","Banas Kantha","Gujarat",1914,2054.15,1805.578,1914,1354.1835,0
"40","Banda","Uttar Pradesh",1914,5152.21,5101.725,1914,3826.29375,0
"41","Bangalore Rural","Karnataka",1914,4891.84,4895.091,1914,3671.31825,0
"42","Bangalore Urban","Karnataka",1914,4978.2,4878.891,1914,3659.16825,0
"43","Banka","Bihar",1914,6031.34,6316.082,1914,4737.0615,0
"44","Bankura","West Bengal",1914,6815.98,7218.682,1914,5414.0115,0
"45","Banswara","Rajasthan",1914,3982.4,3616.577,1914,2712.43275,0
"46","Bara Banki","Uttar Pradesh",1914,4857.76,4458.497,1914,3343.87275,0
"47","Baragarh","Orissa",1914,6236.82,6326.308,1914,4744.731,0
"48","Baramula (Kashmir North)","Jammu and Kashmir",1914,9866.33,7743.712,1914,5807.784,0
"49","Baran","Rajasthan",1914,4328.39,3862.184,1914,2896.638,0
"50","Barddhaman","West Bengal",1914,6606.29,6968.262,1914,5226.1965,0
"51","Bareilly","Uttar Pradesh",1914,3992.28,3791.293,1914,2843.46975,0
"52","Barmer","Rajasthan",1914,1861.43,1717.125,1914,1287.84375,0
"53","Barpeta","Assam",1914,8934.41,9301.59,1914,6976.1925,0
"54","Barwani","Madhya Pradesh",1914,3899.21,3810.559,1914,2857.91925,0
"55","Bastar","Chhattisgarh",1914,7000.29,7214.516,1914,5410.887,0
"56","Basti","Uttar Pradesh",1914,4479.16,4323.799,1914,3242.84925,0
"57","Bathinda","Punjab",1914,2675.3,2252.703,1914,1689.52725,0
"58","Begusarai","Bihar",1914,4997.93,5285.839,1914,3964.37925,0
"59","Belgaum","Karnataka",1914,8679.85,7809.668,1914,5857.251,0
"60","Bellary","Karnataka",1914,4970.02,4966.067,1914,3724.55025,0
"61","Betul","Madhya Pradesh",1914,5238.19,5179.308,1914,3884.481,0
"62","Bhabua","Bihar",1914,5434.38,5611.426,1914,4208.5695,0
"63","Bhadrak","Orissa",1914,6454.94,6888.546,1914,5166.4095,0
"64","Bhagalpur","Bihar",1914,5622.88,5807.255,1914,4355.44125,0
"65","Bhandara","Maharashtra",1914,5688.66,5872.356,1914,4404.267,0
"66","Bharatpur","Rajasthan",1914,4000.93,3593.085,1914,2694.81375,0
"67","Bharuch","Gujarat",1914,4756.58,4338.4,1914,3253.8,0
"68","Bhavnagar","Gujarat",1914,3644.9,3233.699,1914,2425.27425,0
"69","Bhilwara","Rajasthan",1914,3483.61,3202.287,1914,2401.71525,0
"70","Bhind","Madhya Pradesh",1914,4129.35,3943.349,1914,2957.51175,0
"71","Bhiwani","Haryana",1914,3051.26,2615.263,1914,1961.44725,0
"72","Bhojpur","Bihar",1914,4979.57,5124.346,1914,3843.2595,0
"73","Bhopal","Madhya Pradesh",1914,4707.13,4386.011,1914,3289.50825,0
"74","Bid","Maharashtra",1914,4011.91,3843.661,1914,2882.74575,0
"75","Bidar","Karnataka",1914,4849.62,4557.148,1914,3417.861,0
"76","Bijapur","Karnataka",1914,4696.28,4453.442,1914,3340.0815,0
"77","Bijnor","Uttar Pradesh",1914,3801.79,3580.033,1914,2685.02475,0
"78","Bikaner","Rajasthan",1914,2232.72,1886.412,1914,1414.809,0
"79","Bilaspur","Chhattisgarh",1914,3922.75,3476.718,1914,2607.5385,0
"80","Birbhum","West Bengal",1914,6655.33,6945.321,1914,5208.99075,0
"81","Bishnupur","Manipur",1914,9737.55,10603.699,1914,7952.77425,0
"82","Bokaro","Jharkhand",1914,6447.39,7098.552,1914,5323.914,0
