"","District.ID","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"1","Adilabad","Andhra Pradesh",1929,4692.02,5280.046,1929,3960.0345,0
"2","Agra","Uttar Pradesh",1929,3267.28,3790.431,1929,2842.82325,0
"3","Ahmadabad","Gujarat",1929,2274.56,2498.058,1929,1873.5435,0
"4","Ahmednagar","Maharashtra",1929,4330.5,5401.394,1929,4051.0455,0
"5","Aizawl","Mizoram",1929,10590.13,10404.676,1929,7803.507,0
"6","Ajmer","Rajasthan",1929,2942.55,3169.114,1929,2376.8355,0
"7","Akola","Maharashtra",1929,4396.08,4760.062,1929,3570.0465,0
"8","Alappuzha","Kerala",1929,1.47,1.412,1929,1.059,0
"9","Aligarh","Uttar Pradesh",1929,3076.9,3508.053,1929,2631.03975,0
"10","Allahabad","Uttar Pradesh",1929,5456.95,5373.594,1929,4030.1955,0
"11","Almora","Uttaranchal",1929,4515.84,4766.753,1929,3575.06475,0
"12","Alwar","Rajasthan",1929,2848.06,3381.092,1929,2535.819,0
"13","Ambala","Haryana",1929,2583.63,2819.032,1929,2114.274,0
"14","Ambedkar Nagar","Uttar Pradesh",1929,4882.94,4594.334,1929,3445.7505,0
"15","Amravati","Maharashtra",1929,4429.4,4792.391,1929,3594.29325,0
"16","Amreli","Gujarat",1929,2428.68,2759.483,1929,2069.61225,0
"17","Amritsar","Punjab",1929,3760.82,3574.206,1929,2680.6545,0
"18","Anand","Gujarat",1929,2930.71,3198.207,1929,2398.65525,0
"19","Anantapur","Andhra Pradesh",1929,4089.74,4304.872,1929,3228.654,0
"20","Anantnag (Kashmir South)","Jammu and Kashmir",1929,6759.85,6529.089,1929,4896.81675,0
"21","Andaman Islands","Andaman and Nicobar",1929,1013.2,1017.864,1929,763.398,0
"22","Angul","Orissa",1929,6503.67,6621.268,1929,4965.951,0
"23","Araria","Bihar",1929,5664.03,5444.877,1929,4083.65775,0
"24","Ariyalur","Tamil Nadu",1929,4790.45,4563.864,1929,3422.898,0
"25","Auraiya","Uttar Pradesh",1929,3325.6,3791.681,1929,2843.76075,0
"26","Aurangabad (Bihar)","Bihar",1929,5747.93,5753.728,1929,4315.296,0
"27","Aurangabad (Maharashtra)","Maharashtra",1929,3459.62,4232.66,1929,3174.495,0
"28","Azamgarh","Uttar Pradesh",1929,5076.13,4865.574,1929,3649.1805,0
"29","Badaun","Uttar Pradesh",1929,3507.95,3763.929,1929,2822.94675,0
"30","Bagalkot","Karnataka",1929,5235.95,5960.769,1929,4470.57675,0
"31","Bagdam","Jammu and Kashmir",1929,8424.91,7506.581,1929,5629.93575,0
"32","Bageshwar","Uttaranchal",1929,6265.02,6543.151,1929,4907.36325,0
"33","Baghpat","Uttar Pradesh",1929,2545.32,2944.794,1929,2208.5955,0
"34","Bahraich","Uttar Pradesh",1929,4664.07,4677.359,1929,3508.01925,0
"35","Balaghat","Madhya Pradesh",1929,6335.69,6528.963,1929,4896.72225,0
"36","Baleshwar","Orissa",1929,6916.77,7150.707,1929,5363.03025,0
"37","Ballia","Uttar Pradesh",1929,4858.65,4758.642,1929,3568.9815,0
"38","Balrampur","Uttar Pradesh",1929,5073.18,4832.402,1929,3624.3015,0
"39","Banas Kantha","Gujarat",1929,1882.71,1832.036,1929,1374.027,0
"40","Banda","Uttar Pradesh",1929,4878,5306.572,1929,3979.929,0
"41","Bangalore Rural","Karnataka",1929,4771.4,4884.678,1929,3663.5085,0
"42","Bangalore Urban","Karnataka",1929,4834.82,4861.42,1929,3646.065,0
"43","Banka","Bihar",1929,6169.1,6262.016,1929,4696.512,0
"44","Bankura","West Bengal",1929,6971.78,7231.883,1929,5423.91225,0
"45","Banswara","Rajasthan",1929,3496.34,3833.089,1929,2874.81675,0
"46","Bara Banki","Uttar Pradesh",1929,4563.22,4510.764,1929,3383.073,0
"47","Baragarh","Orissa",1929,6413.42,6497.773,1929,4873.32975,0
"48","Baramula (Kashmir North)","Jammu and Kashmir",1929,8775.31,7909.534,1929,5932.1505,0
"49","Baran","Rajasthan",1929,3464.5,4048.874,1929,3036.6555,0
"50","Barddhaman","West Bengal",1929,6722.7,6946.753,1929,5210.06475,0
"51","Bareilly","Uttar Pradesh",1929,3600.82,3819.466,1929,2864.5995,0
"52","Barmer","Rajasthan",1929,2022.22,1737.462,1929,1303.0965,0
"53","Barpeta","Assam",1929,9627.23,9053.542,1929,6790.1565,0
"54","Barwani","Madhya Pradesh",1929,3453.74,3899.533,1929,2924.64975,0
"55","Bastar","Chhattisgarh",1929,8039.42,7549.792,1929,5662.344,0
"56","Basti","Uttar Pradesh",1929,4644.58,4365.918,1929,3274.4385,0
"57","Bathinda","Punjab",1929,2149.86,2146.35,1929,1609.7625,0
"58","Begusarai","Bihar",1929,5455.4,5307.451,1929,3980.58825,0
"59","Belgaum","Karnataka",1929,7758.6,8058.043,1929,6043.53225,0
"60","Bellary","Karnataka",1929,4655.26,4983.249,1929,3737.43675,0
"61","Betul","Madhya Pradesh",1929,4918.06,5310.157,1929,3982.61775,0
"62","Bhabua","Bihar",1929,5759.17,5700.177,1929,4275.13275,0
"63","Bhadrak","Orissa",1929,6804.53,6992.837,1929,5244.62775,0
"64","Bhagalpur","Bihar",1929,5644.35,5705.517,1929,4279.13775,0
"65","Bhandara","Maharashtra",1929,5816.14,6086.403,1929,4564.80225,0
"66","Bharatpur","Rajasthan",1929,3148.65,3678.204,1929,2758.653,0
"67","Bharuch","Gujarat",1929,3813.4,4202.279,1929,3151.70925,0
"68","Bhavnagar","Gujarat",1929,2851.56,3149.539,1929,2362.15425,0
"69","Bhilwara","Rajasthan",1929,3291.52,3531.2,1929,2648.4,0
"70","Bhind","Madhya Pradesh",1929,3434.7,4060.598,1929,3045.4485,0
"71","Bhiwani","Haryana",1929,2169.45,2605.852,1929,1954.389,0
"72","Bhojpur","Bihar",1929,5349.1,5249.339,1929,3937.00425,0
"73","Bhopal","Madhya Pradesh",1929,4060.05,4601.24,1929,3450.93,0
"74","Bid","Maharashtra",1929,3289.21,3856.446,1929,2892.3345,0
"75","Bidar","Karnataka",1929,4069.77,4588.918,1929,3441.6885,0
"76","Bijapur","Karnataka",1929,4007.09,4512.025,1929,3384.01875,0
"77","Bijnor","Uttar Pradesh",1929,3280.01,3526.179,1929,2644.63425,0
"78","Bikaner","Rajasthan",1929,1794.75,1775.236,1929,1331.427,0
