"","District.ID","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"1","Adilabad","Andhra Pradesh",1956,5530.54,5354.292,1956,4015.719,0
"2","Agra","Uttar Pradesh",1956,4412.56,4061.04,1956,3045.78,0
"3","Ahmadabad","Gujarat",1956,3311.01,2686.846,1956,2015.1345,0
"4","Ahmednagar","Maharashtra",1956,6575.18,5590.462,1956,4192.8465,0
"5","Aizawl","Mizoram",1956,11082,10745.605,1956,8059.20375,0
"6","Ajmer","Rajasthan",1956,3522.06,3290.408,1956,2467.806,0
"7","Akola","Maharashtra",1956,5142.47,4881.654,1956,3661.2405,0
"8","Alappuzha","Kerala",1956,1.29,1.405,1956,1.05375,0
"9","Aligarh","Uttar Pradesh",1956,3889.71,3793.325,1956,2844.99375,0
"10","Allahabad","Uttar Pradesh",1956,6234.57,5347.585,1956,4010.68875,0
"11","Almora","Uttaranchal",1956,4596.84,4792.967,1956,3594.72525,0
"12","Alwar","Rajasthan",1956,3655.27,3601.235,1956,2700.92625,0
"13","Ambala","Haryana",1956,2886.04,2959.517,1956,2219.63775,0
"14","Ambedkar Nagar","Uttar Pradesh",1956,4987.61,4558.969,1956,3419.22675,0
"15","Amravati","Maharashtra",1956,4992.41,4773.078,1956,3579.8085,0
"16","Amreli","Gujarat",1956,3913.84,3038.618,1956,2278.9635,0
"17","Amritsar","Punjab",1956,3985.1,3953.783,1956,2965.33725,0
"18","Anand","Gujarat",1956,3974.2,3390.263,1956,2542.69725,0
"19","Anantapur","Andhra Pradesh",1956,5066.09,4342.023,1956,3256.51725,0
"20","Anantnag (Kashmir South)","Jammu and Kashmir",1956,6781.23,7140.408,1956,5355.306,0
"21","Andaman Islands","Andaman and Nicobar",1956,1096.04,1070.871,1956,803.15325,0
"22","Angul","Orissa",1956,7899.4,6317.283,1956,4737.96225,0
"23","Araria","Bihar",1956,6061.23,5333.894,1956,4000.4205,0
"24","Ariyalur","Tamil Nadu",1956,4923.96,4432.856,1956,3324.642,0
"25","Auraiya","Uttar Pradesh",1956,4447.55,3978.269,1956,2983.70175,0
"26","Aurangabad (Bihar)","Bihar",1956,6618.68,5527.043,1956,4145.28225,0
"27","Aurangabad (Maharashtra)","Maharashtra",1956,5017.3,4402.593,1956,3301.94475,0
"28","Azamgarh","Uttar Pradesh",1956,5279.96,4799.035,1956,3599.27625,0
"29","Badaun","Uttar Pradesh",1956,4071.94,3962.863,1956,2972.14725,0
"30","Bagalkot","Karnataka",1956,7532.8,6329.418,1956,4747.0635,0
"31","Bagdam","Jammu and Kashmir",1956,7466.12,7840.722,1956,5880.5415,0
"32","Bageshwar","Uttaranchal",1956,6131.97,6387.535,1956,4790.65125,0
"33","Baghpat","Uttar Pradesh",1956,3225.03,3208.784,1956,2406.588,0
"34","Bahraich","Uttar Pradesh",1956,4854.1,4668.086,1956,3501.0645,0
"35","Balaghat","Madhya Pradesh",1956,6465.84,6122.454,1956,4591.8405,0
"36","Baleshwar","Orissa",1956,8305.74,6893.174,1956,5169.8805,0
"37","Ballia","Uttar Pradesh",1956,5212.53,4623.741,1956,3467.80575,0
"38","Balrampur","Uttar Pradesh",1956,5058.7,4806.664,1956,3604.998,0
"39","Banas Kantha","Gujarat",1956,2302.37,1859.419,1956,1394.56425,0
"40","Banda","Uttar Pradesh",1956,6218.01,5356.44,1956,4017.33,0
"41","Bangalore Rural","Karnataka",1956,5319.02,4944.731,1956,3708.54825,0
"42","Bangalore Urban","Karnataka",1956,5115.72,4894.618,1956,3670.9635,0
"43","Banka","Bihar",1956,7196.94,6060.478,1956,4545.3585,0
"44","Bankura","West Bengal",1956,8438.39,6913.446,1956,5185.0845,0
"45","Banswara","Rajasthan",1956,4490.42,3946.518,1956,2959.8885,0
"46","Bara Banki","Uttar Pradesh",1956,4891.76,4522.1,1956,3391.575,0
"47","Baragarh","Orissa",1956,7587.27,6229.168,1956,4671.876,0
"48","Baramula (Kashmir North)","Jammu and Kashmir",1956,7463.98,8038.374,1956,6028.7805,0
"49","Baran","Rajasthan",1956,4575.5,4226.291,1956,3169.71825,0
"50","Barddhaman","West Bengal",1956,7793.64,6723.316,1956,5042.487,0
"51","Bareilly","Uttar Pradesh",1956,3998.75,3961.655,1956,2971.24125,0
"52","Barmer","Rajasthan",1956,2144.19,1765.692,1956,1324.269,0
"53","Barpeta","Assam",1956,10066.04,9091.365,1956,6818.52375,0
"54","Barwani","Madhya Pradesh",1956,4423.23,4026.903,1956,3020.17725,0
"55","Bastar","Chhattisgarh",1956,7341.88,7289.597,1956,5467.19775,0
"56","Basti","Uttar Pradesh",1956,4718.17,4342.315,1956,3256.73625,0
"57","Bathinda","Punjab",1956,2261.24,2275.885,1956,1706.91375,0
"58","Begusarai","Bihar",1956,5959,5160.955,1956,3870.71625,0
"59","Belgaum","Karnataka",1956,9467.24,8441.458,1956,6331.0935,0
"60","Bellary","Karnataka",1956,6032.81,5132.697,1956,3849.52275,0
"61","Betul","Madhya Pradesh",1956,5244.06,5190.596,1956,3892.947,0
"62","Bhabua","Bihar",1956,6456.95,5536.69,1956,4152.5175,0
"63","Bhadrak","Orissa",1956,8150.52,6806.98,1956,5105.235,0
"64","Bhagalpur","Bihar",1956,6430.19,5575.971,1956,4181.97825,0
"65","Bhandara","Maharashtra",1956,6005.55,5829.578,1956,4372.1835,0
"66","Bharatpur","Rajasthan",1956,4102.21,3931.473,1956,2948.60475,0
"67","Bharuch","Gujarat",1956,5030.93,4474.769,1956,3356.07675,0
