"","District.ID","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"1","Adilabad","Andhra Pradesh",1913,5132.33,5064.746,1913,3798.5595,0
"2","Agra","Uttar Pradesh",1913,2695.04,3698.27,1913,2773.7025,1
"3","Ahmadabad","Gujarat",1913,2725.94,2538.744,1913,1904.058,0
"4","Ahmednagar","Maharashtra",1913,5055.2,5250.495,1913,3937.87125,0
"5","Aizawl","Mizoram",1913,10617.39,10631.485,1913,7973.61375,0
"6","Ajmer","Rajasthan",1913,2367.09,2902.54,1913,2176.905,0
"7","Akola","Maharashtra",1913,4561.05,4607.176,1913,3455.382,0
"8","Alappuzha","Kerala",1913,1.22,1.383,1913,1.03725,0
"9","Aligarh","Uttar Pradesh",1913,2880.28,3538.281,1913,2653.71075,0
"10","Allahabad","Uttar Pradesh",1913,5222.74,5278.147,1913,3958.61025,0
"11","Almora","Uttaranchal",1913,4234.41,4883.623,1913,3662.71725,0
"12","Alwar","Rajasthan",1913,2743.62,3320.523,1913,2490.39225,0
"13","Ambala","Haryana",1913,2925.19,2908.493,1913,2181.36975,0
"14","Ambedkar Nagar","Uttar Pradesh",1913,4371.43,4466.089,1913,3349.56675,0
"15","Amravati","Maharashtra",1913,4714.47,4625.498,1913,3469.1235,0
"16","Amreli","Gujarat",1913,2523.36,2784.728,1913,2088.546,0
"17","Amritsar","Punjab",1913,4093.78,3889.294,1913,2916.9705,0
"18","Anand","Gujarat",1913,3351.02,3286.172,1913,2464.629,0
"19","Anantapur","Andhra Pradesh",1913,3519.25,4273.828,1913,3205.371,0
"20","Anantnag (Kashmir South)","Jammu and Kashmir",1913,6834.01,6932.382,1913,5199.2865,0
"21","Andaman Islands","Andaman and Nicobar",1913,946.1,1018.73,1913,764.0475,0
"22","Angul","Orissa",1913,6458.77,6286.854,1913,4715.1405,0
"23","Araria","Bihar",1913,5689.54,5610.596,1913,4207.947,0
"24","Ariyalur","Tamil Nadu",1913,4821.33,4466.398,1913,3349.7985,0
"25","Auraiya","Uttar Pradesh",1913,2795.49,3661.524,1913,2746.143,0
"26","Aurangabad (Bihar)","Bihar",1913,6239.33,5572.863,1913,4179.64725,0
"27","Aurangabad (Maharashtra)","Maharashtra",1913,3681.59,4097.793,1913,3073.34475,0
"28","Azamgarh","Uttar Pradesh",1913,4693.54,4700.765,1913,3525.57375,0
"29","Badaun","Uttar Pradesh",1913,3119.53,3759.987,1913,2819.99025,0
"30","Bagalkot","Karnataka",1913,5383.98,5870.166,1913,4402.6245,0
"31","Bagdam","Jammu and Kashmir",1913,7456.28,7708.203,1913,5781.15225,0
"32","Bageshwar","Uttaranchal",1913,6048.13,6755.339,1913,5066.50425,0
"33","Baghpat","Uttar Pradesh",1913,2834.25,3034.211,1913,2275.65825,0
"34","Bahraich","Uttar Pradesh",1913,4339.39,4682.472,1913,3511.854,0
"35","Balaghat","Madhya Pradesh",1913,6288.77,6104.996,1913,4578.747,0
"36","Baleshwar","Orissa",1913,7330.75,6975.725,1913,5231.79375,0
"37","Ballia","Uttar Pradesh",1913,4770.85,4601.463,1913,3451.09725,0
"38","Balrampur","Uttar Pradesh",1913,4642.62,4823.65,1913,3617.7375,0
"39","Banas Kantha","Gujarat",1913,2258.76,1802.146,1913,1351.6095,0
"40","Banda","Uttar Pradesh",1913,4363.46,5084.555,1913,3813.41625,0
"41","Bangalore Rural","Karnataka",1913,3907,4905.414,1913,3679.0605,0
"42","Bangalore Urban","Karnataka",1913,4026.14,4886.109,1913,3664.58175,0
"43","Banka","Bihar",1913,6644.76,6269.052,1913,4701.789,0
"44","Bankura","West Bengal",1913,7649.65,7165.011,1913,5373.75825,0
"45","Banswara","Rajasthan",1913,3743.77,3607.364,1913,2705.523,0
"46","Bara Banki","Uttar Pradesh",1913,4089.81,4461.369,1913,3346.02675,0
"47","Baragarh","Orissa",1913,6225.9,6163.004,1913,4622.253,0
"48","Baramula (Kashmir North)","Jammu and Kashmir",1913,7619.59,7940.077,1913,5955.05775,0
"49","Baran","Rajasthan",1913,3228.87,3844.664,1913,2883.498,0
"50","Barddhaman","West Bengal",1913,7491.46,6939.865,1913,5204.89875,0
"51","Bareilly","Uttar Pradesh",1913,3206.59,3804.064,1913,2853.048,0
"52","Barmer","Rajasthan",1913,2119.97,1705.057,1913,1278.79275,0
"53","Barpeta","Assam",1913,9276.2,9322.026,1913,6991.5195,0
"54","Barwani","Madhya Pradesh",1913,3816.89,3764.409,1913,2823.30675,0
"55","Bastar","Chhattisgarh",1913,6795.03,7048.827,1913,5286.62025,0
"56","Basti","Uttar Pradesh",1913,4163.63,4288.063,1913,3216.04725,0
"57","Bathinda","Punjab",1913,2261.92,2314.655,1913,1735.99125,0
"58","Begusarai","Bihar",1913,5611.36,5250.091,1913,3937.56825,0
"59","Belgaum","Karnataka",1913,7045.53,7799.897,1913,5849.92275,0
"60","Bellary","Karnataka",1913,4385.06,4940.28,1913,3705.21,0
