"","District.ID","X","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"481","Shivpuri",37763,"Madhya Pradesh",1923,4748.73,4340.274,1923,3255.2055,0
"482","Shravasti",16139,"Uttar Pradesh",1923,4577.95,4749.719,1923,3562.28925,0
"483","Sibsagar",28073,"Assam",1923,8763.38,9079.649,1923,6809.73675,0
"484","Siddharth Nagar",16445,"Uttar Pradesh",1923,4735.47,4818.029,1923,3613.52175,0
"485","Sidhi",38885,"Madhya Pradesh",1923,6565.09,6367.902,1923,4775.9265,0
"486","Sikar",8999,"Rajasthan",1923,2798.26,2622.693,1923,1967.01975,0
"487","Sindhudurg",47963,"Maharashtra",1923,1098.72,1190.938,1923,893.2035,0
"488","Sirmaur",2267,"Himachal Pradesh",1923,3926.05,3705.208,1923,2778.906,0
"489","Sirohi",9611,"Rajasthan",1923,2050.42,2584.627,1923,1938.47025,0
"490","Sirsa",6755,"Haryana",1923,2251.9,2186.684,1923,1640.013,0
"491","Sitamarhi",18485,"Bihar",1923,4546.51,4865.825,1923,3649.36875,0
"492","Sitapur",13385,"Uttar Pradesh",1923,4013.54,4262.161,1923,3196.62075,0
"493","Sivaganga",57347,"Tamil Nadu",1923,4293.43,4524.448,1923,3393.336,0
"494","Siwan",19709,"Bihar",1923,4397.29,4466.219,1923,3349.66425,0
"495","Solan",2165,"Himachal Pradesh",1923,3639.63,3390.566,1923,2542.9245,0
"496","Solapur",47657,"Maharashtra",1923,3591.99,3825.132,1923,2868.849,0
"497","Sonbhadra",18077,"Uttar Pradesh",1923,6641.04,6396.231,1923,4797.17325,0
"498","Sonepat",6449,"Haryana",1923,2851.23,2689.923,1923,2017.44225,0
"499","Sonepur",34805,"Orissa",1923,5733.94,6246.717,1923,4685.03775,0
"500","Sonitpur",27563,"Assam",1923,6786.02,7274.247,1923,5455.68525,0
"501","South 24 Parganas",30623,"West Bengal",1923,5117.53,5378.617,1923,4033.96275,0
