"","District.ID","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"1","Adilabad","Andhra Pradesh",1993,5507.82,5497.925,1993,4123.44375,0
"2","Agra","Uttar Pradesh",1993,3959.43,3963.374,1993,2972.5305,0
"3","Ahmadabad","Gujarat",1993,2523.45,2699.08,1993,2024.31,0
"4","Ahmednagar","Maharashtra",1993,4992.24,5334.751,1993,4001.06325,0
"5","Aizawl","Mizoram",1993,11095.07,10247.501,1993,7685.62575,0
"6","Ajmer","Rajasthan",1993,3331.26,3273.283,1993,2454.96225,0
"7","Akola","Maharashtra",1993,4627.64,4612.071,1993,3459.05325,0
"8","Alappuzha","Kerala",1993,1.46,1.391,1993,1.04325,0
"9","Aligarh","Uttar Pradesh",1993,3812.52,3709.473,1993,2782.10475,0
"10","Allahabad","Uttar Pradesh",1993,4217.36,4941.371,1993,3706.02825,0
"11","Almora","Uttaranchal",1993,4341.23,4477.005,1993,3357.75375,0
"12","Alwar","Rajasthan",1993,3875.88,3696.266,1993,2772.1995,0
"13","Ambala","Haryana",1993,2717.6,3056.766,1993,2292.5745,0
"14","Ambedkar Nagar","Uttar Pradesh",1993,3636.92,4056.53,1993,3042.3975,0
"15","Amravati","Maharashtra",1993,4705.02,4658.076,1993,3493.557,0
"16","Amreli","Gujarat",1993,2468.36,2881.879,1993,2161.40925,0
"17","Amritsar","Punjab",1993,3627.03,4399.893,1993,3299.91975,0
"18","Anand","Gujarat",1993,3251,3578.973,1993,2684.22975,0
"19","Anantapur","Andhra Pradesh",1993,4515.37,4498.081,1993,3373.56075,0
"20","Anantnag (Kashmir South)","Jammu and Kashmir",1993,6158.62,7565.398,1993,5674.0485,0
"21","Andaman Islands","Andaman and Nicobar",1993,973.5,1019.192,1993,764.394,0
"22","Angul","Orissa",1993,6247.44,6518.413,1993,4888.80975,0
"23","Araria","Bihar",1993,5119.13,5137.596,1993,3853.197,0
"24","Ariyalur","Tamil Nadu",1993,4723.62,4527.999,1993,3395.99925,0
"25","Auraiya","Uttar Pradesh",1993,3614.32,3736.723,1993,2802.54225,0
"26","Aurangabad (Bihar)","Bihar",1993,4575.29,5312.171,1993,3984.12825,0
"27","Aurangabad (Maharashtra)","Maharashtra",1993,4025.17,4184.077,1993,3138.05775,0
"28","Azamgarh","Uttar Pradesh",1993,3845.59,4289.489,1993,3217.11675,0
"29","Badaun","Uttar Pradesh",1993,3766.1,3731.474,1993,2798.6055,0
"30","Bagalkot","Karnataka",1993,6013.21,6154.43,1993,4615.8225,0
"31","Bagdam","Jammu and Kashmir",1993,6864.24,8483.664,1993,6362.748,0
"32","Bageshwar","Uttaranchal",1993,5811.65,6050.439,1993,4537.82925,0
"33","Baghpat","Uttar Pradesh",1993,3233.09,3262.466,1993,2446.8495,0
"34","Bahraich","Uttar Pradesh",1993,4154.85,4221.451,1993,3166.08825,0
"35","Balaghat","Madhya Pradesh",1993,6076.31,6036.709,1993,4527.53175,0
"36","Baleshwar","Orissa",1993,7910.64,7306.256,1993,5479.692,0
"37","Ballia","Uttar Pradesh",1993,3742.68,4187.958,1993,3140.9685,0
"38","Balrampur","Uttar Pradesh",1993,4027.63,4292.727,1993,3219.54525,0
"39","Banas Kantha","Gujarat",1993,1929.76,1976.108,1993,1482.081,0
"40","Banda","Uttar Pradesh",1993,4381.37,4939.704,1993,3704.778,0
"41","Bangalore Rural","Karnataka",1993,5137.03,5019.472,1993,3764.604,0
"42","Bangalore Urban","Karnataka",1993,5129.55,4984.356,1993,3738.267,0
"43","Banka","Bihar",1993,6038.52,5973.865,1993,4480.39875,0
"44","Bankura","West Bengal",1993,7701.63,7218.811,1993,5414.10825,0
"45","Banswara","Rajasthan",1993,3843.03,3878.483,1993,2908.86225,0
"46","Bara Banki","Uttar Pradesh",1993,3842.18,4055.582,1993,3041.6865,0
"47","Baragarh","Orissa",1993,5951.59,6180.54,1993,4635.405,0
"48","Baramula (Kashmir North)","Jammu and Kashmir",1993,7076.39,8776.607,1993,6582.45525,0
