"","District.ID","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"1","Adilabad","Andhra Pradesh",1921,5012.03,4851.232,1921,3638.424,0
"2","Agra","Uttar Pradesh",1921,2922.35,3710.107,1921,2782.58025,0
"3","Ahmadabad","Gujarat",1921,2643.05,2396.055,1921,1797.04125,0
"4","Ahmednagar","Maharashtra",1921,4581.49,4688.168,1921,3516.126,0
"5","Aizawl","Mizoram",1921,10695.22,10255.497,1921,7691.62275,0
"6","Ajmer","Rajasthan",1921,2215.62,2915.555,1921,2186.66625,0
"7","Akola","Maharashtra",1921,3805.91,4300.319,1921,3225.23925,0
"8","Alappuzha","Kerala",1921,1.41,1.459,1921,1.09425,0
"9","Aligarh","Uttar Pradesh",1921,3023.43,3534.885,1921,2651.16375,0
"10","Allahabad","Uttar Pradesh",1921,4772.93,5309.385,1921,3982.03875,0
"11","Almora","Uttaranchal",1921,4763.31,4827.937,1921,3620.95275,0
"12","Alwar","Rajasthan",1921,2744.39,3266.55,1921,2449.9125,0
"13","Ambala","Haryana",1921,2849.47,2876.079,1921,2157.05925,0
"14","Ambedkar Nagar","Uttar Pradesh",1921,4191.8,4518.2,1921,3388.65,0
"15","Amravati","Maharashtra",1921,3935.36,4375.237,1921,3281.42775,0
"16","Amreli","Gujarat",1921,2870.7,2528.187,1921,1896.14025,0
"17","Amritsar","Punjab",1921,3342.74,3694.735,1921,2771.05125,0
"18","Anand","Gujarat",1921,3385.73,3090.527,1921,2317.89525,0
"19","Anantapur","Andhra Pradesh",1921,4328.76,4083.319,1921,3062.48925,0
"20","Anantnag (Kashmir South)","Jammu and Kashmir",1921,7021.71,6839.294,1921,5129.4705,0
"21","Andaman Islands","Andaman and Nicobar",1921,965.99,1007.562,1921,755.6715,0
"22","Angul","Orissa",1921,6143.13,6461.345,1921,4846.00875,0
"23","Araria","Bihar",1921,5433.91,5444.491,1921,4083.36825,0
"24","Ariyalur","Tamil Nadu",1921,4268.08,4512.28,1921,3384.21,0
"25","Auraiya","Uttar Pradesh",1921,3123.26,3729.189,1921,2796.89175,0
"26","Aurangabad (Bihar)","Bihar",1921,5675.02,5827.899,1921,4370.92425,0
"27","Aurangabad (Maharashtra)","Maharashtra",1921,3144.75,3734.56,1921,2800.92,0
"28","Azamgarh","Uttar Pradesh",1921,4541.63,4815.875,1921,3611.90625,0
"29","Badaun","Uttar Pradesh",1921,3454.14,3824.437,1921,2868.32775,0
"30","Bagalkot","Karnataka",1921,5325.39,5246.93,1921,3935.1975,0
"31","Bagdam","Jammu and Kashmir",1921,7940.05,7703.003,1921,5777.25225,0
"32","Bageshwar","Uttaranchal",1921,6355.11,6567.145,1921,4925.35875,0
"33","Baghpat","Uttar Pradesh",1921,2767.92,2991.397,1921,2243.54775,0
"34","Bahraich","Uttar Pradesh",1921,4378.42,4657.489,1921,3493.11675,0
"35","Balaghat","Madhya Pradesh",1921,5467.51,6081.702,1921,4561.2765,0
"36","Baleshwar","Orissa",1921,6443.4,6943.413,1921,5207.55975,0
"37","Ballia","Uttar Pradesh",1921,4567.74,4734.049,1921,3550.53675,0
"38","Balrampur","Uttar Pradesh",1921,4490.29,4790.727,1921,3593.04525,0
"39","Banas Kantha","Gujarat",1921,1877.57,1772.914,1921,1329.6855,0
"40","Banda","Uttar Pradesh",1921,4403.46,5182.967,1921,3887.22525,0
"41","Bangalore Rural","Karnataka",1921,4860.42,4801.69,1921,3601.2675,0
"42","Bangalore Urban","Karnataka",1921,4788.76,4782.546,1921,3586.9095,0
"43","Banka","Bihar",1921,6034.14,6262.335,1921,4696.75125,0
"44","Bankura","West Bengal",1921,6781.93,7156.856,1921,5367.642,0
"45","Banswara","Rajasthan",1921,3409.28,3478.362,1921,2608.7715,0
"46","Bara Banki","Uttar Pradesh",1921,3948.25,4455.412,1921,3341.559,0
"47","Baragarh","Orissa",1921,5859.63,6306.524,1921,4729.893,0
"48","Baramula (Kashmir North)","Jammu and Kashmir",1921,8419.27,8019.741,1921,6014.80575,0
"49","Baran","Rajasthan",1921,3414.19,3832.971,1921,2874.72825,0
"50","Barddhaman","West Bengal",1921,6621.26,6880.572,1921,5160.429,0
"51","Bareilly","Uttar Pradesh",1921,3686.68,3866.129,1921,2899.59675,0
"52","Barmer","Rajasthan",1921,1685.68,1627.75,1921,1220.8125,0
"53","Barpeta","Assam",1921,10179.91,8971.733,1921,6728.79975,0
"54","Barwani","Madhya Pradesh",1921,3546.95,3663.737,1921,2747.80275,0
