"","District.ID","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"1","Adilabad","Andhra Pradesh",1949,5604.72,5065.773,1949,3799.32975,0
"2","Agra","Uttar Pradesh",1949,3989.25,3866.495,1949,2899.87125,0
"3","Ahmadabad","Gujarat",1949,2417.87,2458.923,1949,1844.19225,0
"4","Ahmednagar","Maharashtra",1949,4931.68,5154.188,1949,3865.641,0
"5","Aizawl","Mizoram",1949,11450.31,11138.186,1949,8353.6395,0
"6","Ajmer","Rajasthan",1949,2819.56,3108.938,1949,2331.7035,0
"7","Akola","Maharashtra",1949,4891.18,4646.08,1949,3484.56,0
"8","Alappuzha","Kerala",1949,1.33,1.394,1949,1.0455,0
"9","Aligarh","Uttar Pradesh",1949,3620.89,3561.675,1949,2671.25625,0
"10","Allahabad","Uttar Pradesh",1949,5596.04,5406.836,1949,4055.127,0
"11","Almora","Uttaranchal",1949,5123.84,4722.936,1949,3542.202,0
"12","Alwar","Rajasthan",1949,3330.43,3384.092,1949,2538.069,0
"13","Ambala","Haryana",1949,2734.93,2852.707,1949,2139.53025,0
"14","Ambedkar Nagar","Uttar Pradesh",1949,4938.72,4597.094,1949,3447.8205,0
"15","Amravati","Maharashtra",1949,4954.01,4612.191,1949,3459.14325,0
"16","Amreli","Gujarat",1949,2887.03,2653.956,1949,1990.467,0
"17","Amritsar","Punjab",1949,3335.93,3700.01,1949,2775.0075,0
"18","Anand","Gujarat",1949,3112.39,3117.257,1949,2337.94275,0
"19","Anantapur","Andhra Pradesh",1949,4198.91,4109.654,1949,3082.2405,0
"20","Anantnag (Kashmir South)","Jammu and Kashmir",1949,6711.68,6658.036,1949,4993.527,0
"21","Andaman Islands","Andaman and Nicobar",1949,1079.43,1049.176,1949,786.882,0
"22","Angul","Orissa",1949,6328.86,6302.364,1949,4726.773,0
"23","Araria","Bihar",1949,6092.91,5614.336,1949,4210.752,0
"24","Ariyalur","Tamil Nadu",1949,3866.3,4261.999,1949,3196.49925,0
"25","Auraiya","Uttar Pradesh",1949,3941.49,3842.613,1949,2881.95975,0
"26","Aurangabad (Bihar)","Bihar",1949,6165.54,5764.294,1949,4323.2205,0
"27","Aurangabad (Maharashtra)","Maharashtra",1949,4136.84,4099.835,1949,3074.87625,0
"28","Azamgarh","Uttar Pradesh",1949,5276.56,4881.622,1949,3661.2165,0
"29","Badaun","Uttar Pradesh",1949,3927.69,3770.981,1949,2828.23575,0
"30","Bagalkot","Karnataka",1949,5724.41,5830.462,1949,4372.8465,0
"31","Bagdam","Jammu and Kashmir",1949,7552.14,7249.339,1949,5437.00425,0
"32","Bageshwar","Uttaranchal",1949,7050.15,6424.255,1949,4818.19125,0
"33","Baghpat","Uttar Pradesh",1949,3013.3,2975.65,1949,2231.7375,0
"34","Bahraich","Uttar Pradesh",1949,4904.64,4668.519,1949,3501.38925,0
"35","Balaghat","Madhya Pradesh",1949,6537.79,6085.28,1949,4563.96,0
"36","Baleshwar","Orissa",1949,7233.54,6946.944,1949,5210.208,0
"37","Ballia","Uttar Pradesh",1949,5174.69,4759.275,1949,3569.45625,0
"38","Balrampur","Uttar Pradesh",1949,5160.76,4821.275,1949,3615.95625,0
"39","Banas Kantha","Gujarat",1949,1613.79,1789.808,1949,1342.356,0
"40","Banda","Uttar Pradesh",1949,5269.22,5304.48,1949,3978.36,0
"41","Bangalore Rural","Karnataka",1949,4795.03,4715.059,1949,3536.29425,0
"42","Bangalore Urban","Karnataka",1949,4707.29,4693.276,1949,3519.957,0
"43","Banka","Bihar",1949,6893.64,6341.422,1949,4756.0665,0
"44","Bankura","West Bengal",1949,7428.07,7090.443,1949,5317.83225,0
