"","District.ID","Ten.Year.Moving.Avg","Year"
"174","Gajapati",430.081333333333,1906
"175","Gandhinagar",225.266666666667,1906
"176","Ganganagar",173.950333333333,1906
"177","Ganjam",468.808,1906
"178","Garhchiroli",476.662666666667,1906
"179","Garhwa",507.604083333333,1906
"180","Gautam Buddha Nagar",270.422583333333,1906
"181","Gaya",476.59775,1906
"182","Ghaziabad",268.518166666667,1906
"183","Ghazipur",394.208166666667,1906
"184","Giridih",520.939083333333,1906
"185","Goalpara",733.159666666667,1906
"186","Godda",509.860416666667,1906
"187","Golaghat",647.609,1906
"188","Gonda",357.44875,1906
"189","Gondiya",505.03525,1906
"190","Gopalganj",353.934833333333,1906
"191","Gorakhpur",360.914833333333,1906
"192","Greater Bombay",0,1906
"193","Gulbarga",319.470083333333,1906
"194","Gumla",563.685333333333,1906
"195","Guna",347.302166666667,1906
"196","Guntur",346.18925,1906
"197","Gurdaspur",331.456166666667,1906
"198","Gurgaon",259.964416666667,1906
"199","Gwalior",335.278416666667,1906
"200","Hailakandi",918.333583333334,1906
"201","Hamirpur",343.977541666667,1906
"202","Hanumangarh",178.271583333333,1906
"203","Haora",552.607583333333,1906
"204","Harda",359.509333333333,1906
"205","Hardoi",307.2425,1906
"206","Haridwar",270.988583333333,1906
"207","Hassan",855.644333333333,1906
"208","Hathras",284.576,1906
"209","Haveri",777.484083333333,1906
"210","Hazaribag",565.91675,1906
"211","Hingoli",357.129833333333,1906
"212","Hisar",200.142666666667,1906
"213","Hoshangabad",415.64025,1906
"214","Hoshiarpur",244.778666666667,1906
"215","Hugli",570.427916666667,1906
"216","Hyderabad",394.96525,1906
"217","Idukki",791.03825,1906
"218","Indore",317.073416666667,1906
"219","Jabalpur",460.336916666667,1906
"220","Jagatsinghpur",488.558916666667,1906
"221","Jaintia Hills",942.345083333334,1906
"222","Jaipur",236.772583333333,1906
"223","Jaisalmer",112.677083333333,1906
"224","Jajpur",539.429416666667,1906
"225","Jalandhar",210.315333333333,1906
"226","Jalaun",331.276333333333,1906
"227","Jalgaon",303.512,1906
"228","Jalna",317.107916666667,1906
"229","Jalor",151.926083333333,1906
"230","Jalpaiguri",696.238833333334,1906
"231","Jammu",511.85075,1906
"232","Jamnagar",182.015666666667,1906
"233","Jamui",485.535166666667,1906
"234","Janjgir-Champa",502.653583333333,1906
"235","Jashpur",530.238416666667,1906
"236","Jaunpur",380.762666666667,1906
"237","Jehanabad",433.145333333333,1906
"238","Jhabua",320.834083333333,1906
"239","Jhajjar",216.568666666667,1906
"240","Jhalawar",326.335833333333,1906
"241","Jhansi",350.878833333333,1906
"242","Jharsuguda",514.050583333333,1906
"243","Jhunjhunun",199.84525,1906
"244","Jind",207.407583333333,1906
"245","Jodhpur",147.412583333333,1906
"246","Jorhat",663.605416666667,1906
"247","Junagadh",82.1246666666666,1906
"248","Jyotiba Phule Nagar",285.7065,1906
"249","Kachchh",132.168333333333,1906
"250","Kaithal",207.59575,1906
"251","Kalahandi",542.178416666667,1906
"252","Kamrup",828.668,1906
"253","Kancheepuram",388.47125,1906
"254","Kandhamal",493.240666666667,1906
"255","Kangra",369.1065,1906
"256","Kanker",548.2805,1906
"257","Kannauj",288.089583333333,1906
"258","Kanniyakumari",37.1333333333333,1906
"259","Kannur",106.196666666667,1906
"260","Kanpur",314.643583333333,1906
"261","Kanpur Dehat",310.465083333333,1906
"262","Kapurthala",221.94025,1906
"263","Karaikal",391.590833333333,1906
"264","Karauli",283.793416666666,1906
"265","Karbi Anglong",786.8845,1906
"266","Kargil",523.687666666667,1906
"267","Karimganj",886.419916666667,1906
"268","Karimnagar",412.109416666667,1906
"269","Karnal",214.3735,1906
"270","Karur",499.058666666667,1906
"271","Kasaragod",0,1906
"272","Kathua",393.776333333333,1906
"273","Katihar",496.748583333333,1906
"274","Katni",458.945833333333,1906
"275","Kaushambi",405.939333333333,1906
"276","Kavaratti",0.19025,1906
"277","Kawardha",513.624166666667,1906
"278","Kendrapara",538.865,1906
"279","Keonjhar",527.563333333333,1906
"280","Khagaria",413.30175,1906
"281","Khammam",395.69975,1906
"282","Kheda",257.531583333333,1906
"283","Khordha",460.166666666667,1906
"284","Kinnaur",605.18,1906
"285","Kishanganj",522.04925,1906
"286","Kochbihar",665.206666666667,1906
"287","Kodagu",664.134833333334,1906
"288","Koderma",512.32625,1906
"289","Kohima",833.413416666667,1906
"290","Kokrajhar",746.968416666667,1906
"291","Kolar",407.704583333333,1906
"292","Kolasib",890.996,1906
"293","Kolhapur",612.974833333333,1906
"294","Kolkata",553.122083333333,1906
"295","Kollam",231.985916666666,1906
"296","Koppal",423.315583333333,1906
"297","Koraput",555.829083333333,1906
"298","Korba",508.636416666667,1906
"299","Koriya",548.977583333333,1906
"300","Kota",294.954083333333,1906
"301","Kottayam",435.627166666667,1906
"302","Kozhikode",79.9458333333333,1906
"303","Krishna",356.819833333333,1906
"304","Kullu",562.60875,1906
"305","Kupwara (Muzaffarabad)",636.310333333333,1906
"306","Kurnool",297.776833333333,1906
"307","Kurukshetra",219.088333333333,1906
"308","Kushinagar",360.826833333333,1906
"309","Ladakh (Leh)",487.683333333333,1906
"310","Lahul and Spiti",592.477,1906
"311","Lakhimpur",717.667583333333,1906
"312","Lakhimpur Kheri",340.56575,1906
"313","Lakhisarai",434.015833333333,1906
"314","Lalitpur",344.37325,1906
"315","Latur",351.50275,1906
"316","Lawngtlai",942.862666666667,1906
"317","Lohardaga",587.51575,1906
"318","Lohit",915.684666666667,1906
"319","Lower Subansiri",722.707916666667,1906
"320","Lucknow",328.555916666667,1906
"321","Ludhiana",189.188083333334,1906
"322","Lunglei",881.629083333333,1906
"323","Madhepura",407.657916666667,1906
"324","Madhubani",404.701583333333,1906
"325","Madurai",577.906583333334,1906
"326","Maharajganj",382.337416666667,1906
"327","Mahasamund",504.351916666667,1906
"328","Mahbubnagar",339.677,1906
"329","Mahe",0,1906
"330","Mahendragarh",224.028416666667,1906
"331","Mahesana",192.057333333333,1906
"332","Mahoba",379.189,1906
"333","Mainpuri",289.439333333333,1906
"334","Malappuram",366.774666666667,1906
"335","Maldah",544.05925,1906
"336","Malkangiri",518.747583333333,1906
"337","Mamit",849.920666666667,1906
"338","Mandi",406.210333333333,1906
"339","Mandla",503.982083333333,1906
"340","Mandsaur",319.0025,1906
"341","Mandya",661.59225,1906
"342","Mansa",182.60025,1906
"343","Mathura",283.244416666667,1906
"344","Mau",375.217333333333,1906
"345","Mayurbhanj",575.496083333333,1906
"346","Medak",399.478583333333,1906
"347","Meerut",271.016166666667,1906
"348","Mirzapur",450.333333333333,1906
"349","Moga",182.871833333333,1906
"350","Mokokchung",698.956833333333,1906
"351","Mon",755.196916666667,1906
"352","Moradabad",289.129333333333,1906
"353","Morena",314.552,1906
