"","District.ID","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"1","Adilabad","Andhra Pradesh",1958,5124.88,5471.301,1958,4103.47575,0
"2","Agra","Uttar Pradesh",1958,4342.3,4130.531,1958,3097.89825,0
"3","Ahmadabad","Gujarat",1958,2837.17,2755.417,1958,2066.56275,0
"4","Ahmednagar","Maharashtra",1958,5988.98,5743.502,1958,4307.6265,0
"5","Aizawl","Mizoram",1958,10056.14,10375.617,1958,7781.71275,0
"6","Ajmer","Rajasthan",1958,3525.22,3296.682,1958,2472.5115,0
"7","Akola","Maharashtra",1958,5145.25,5041.774,1958,3781.3305,0
"8","Alappuzha","Kerala",1958,1.33,1.436,1958,1.077,0
"9","Aligarh","Uttar Pradesh",1958,4095.2,3846.044,1958,2884.533,0
"10","Allahabad","Uttar Pradesh",1958,5290.56,5480.094,1958,4110.0705,0
"11","Almora","Uttaranchal",1958,5178.71,4876.627,1958,3657.47025,0
"12","Alwar","Rajasthan",1958,3876.47,3630.308,1958,2722.731,0
"13","Ambala","Haryana",1958,3227.36,2942.745,1958,2207.05875,0
"14","Ambedkar Nagar","Uttar Pradesh",1958,4489.21,4616.953,1958,3462.71475,0
"15","Amravati","Maharashtra",1958,4901.07,4940.286,1958,3705.2145,0
"16","Amreli","Gujarat",1958,3223.84,3079.082,1958,2309.3115,0
"17","Amritsar","Punjab",1958,3708.11,3977.089,1958,2982.81675,0
"18","Anand","Gujarat",1958,3586.7,3476.036,1958,2607.027,0
"19","Anantapur","Andhra Pradesh",1958,4673.77,4498.96,1958,3374.22,0
"20","Anantnag (Kashmir South)","Jammu and Kashmir",1958,7189.66,7085.927,1958,5314.44525,0
"21","Andaman Islands","Andaman and Nicobar",1958,1033.23,1071.821,1958,803.86575,0
"22","Angul","Orissa",1958,6746.45,6372.227,1958,4779.17025,0
"23","Araria","Bihar",1958,5412.28,5309.987,1958,3982.49025,0
"24","Ariyalur","Tamil Nadu",1958,4432.76,4547.95,1958,3410.9625,0
"25","Auraiya","Uttar Pradesh",1958,3981.28,4056.126,1958,3042.0945,0
"26","Aurangabad (Bihar)","Bihar",1958,5869.19,5581.605,1958,4186.20375,0
"27","Aurangabad (Maharashtra)","Maharashtra",1958,4893.24,4571.092,1958,3428.319,0
"28","Azamgarh","Uttar Pradesh",1958,4728.17,4859.047,1958,3644.28525,0
"29","Badaun","Uttar Pradesh",1958,4254.02,4040.171,1958,3030.12825,0
"30","Bagalkot","Karnataka",1958,6352.74,6547.584,1958,4910.688,0
"31","Bagdam","Jammu and Kashmir",1958,7899.16,7815.695,1958,5861.77125,0
"32","Bageshwar","Uttaranchal",1958,6826.47,6472.474,1958,4854.3555,0
"33","Baghpat","Uttar Pradesh",1958,3588.64,3201.331,1958,2400.99825,0
"34","Bahraich","Uttar Pradesh",1958,4703.01,4751.83,1958,3563.8725,0
"35","Balaghat","Madhya Pradesh",1958,6121.73,6285.627,1958,4714.22025,0
"36","Baleshwar","Orissa",1958,6815.75,6928.771,1958,5196.57825,0
"37","Ballia","Uttar Pradesh",1958,4597.02,4657.935,1958,3493.45125,0
"38","Balrampur","Uttar Pradesh",1958,4762.54,4881.232,1958,3660.924,0
"39","Banas Kantha","Gujarat",1958,2086.27,1871.621,1958,1403.71575,0
"40","Banda","Uttar Pradesh",1958,4995.05,5487.848,1958,4115.886,0
"41","Bangalore Rural","Karnataka",1958,5450.24,5069.482,1958,3802.1115,0
"42","Bangalore Urban","Karnataka",1958,5372.37,5014.11,1958,3760.5825,0
"43","Banka","Bihar",1958,6244.3,6038.447,1958,4528.83525,0
"44","Bankura","West Bengal",1958,6852.07,6957.485,1958,5218.11375,0
"45","Banswara","Rajasthan",1958,4195.53,4000.918,1958,3000.6885,0
"46","Bara Banki","Uttar Pradesh",1958,4498.45,4606.325,1958,3454.74375,0
"47","Baragarh","Orissa",1958,6654.32,6333.804,1958,4750.353,0
"48","Baramula (Kashmir North)","Jammu and Kashmir",1958,8501.93,7997.728,1958,5998.296,0
"49","Baran","Rajasthan",1958,4788.55,4320.123,1958,3240.09225,0
"50","Barddhaman","West Bengal",1958,6503.11,6704.747,1958,5028.56025,0
"51","Bareilly","Uttar Pradesh",1958,4289.27,4044.638,1958,3033.4785,0
"52","Barmer","Rajasthan",1958,1782.79,1760.629,1958,1320.47175,0
"53","Barpeta","Assam",1958,8815.14,9060.607,1958,6795.45525,0
"54","Barwani","Madhya Pradesh",1958,4503.92,4197.572,1958,3148.179,0
"55","Bastar","Chhattisgarh",1958,7268.12,7380.017,1958,5535.01275,0
"56","Basti","Uttar Pradesh",1958,4302.79,4399.75,1958,3299.8125,0
"57","Bathinda","Punjab",1958,2332.58,2259.235,1958,1694.42625,0
"58","Begusarai","Bihar",1958,5187.69,5156.445,1958,3867.33375,0
"59","Belgaum","Karnataka",1958,8375.4,8652.244,1958,6489.183,0
"60","Bellary","Karnataka",1958,5408.81,5288.476,1958,3966.357,0
"61","Betul","Madhya Pradesh",1958,5307.62,5397.917,1958,4048.43775,0
"62","Bhabua","Bihar",1958,5715.93,5611.073,1958,4208.30475,0
"63","Bhadrak","Orissa",1958,6823.38,6818.3,1958,5113.725,0
"64","Bhagalpur","Bihar",1958,5689.1,5550.344,1958,4162.758,0
"65","Bhandara","Maharashtra",1958,5827.19,5981.276,1958,4485.957,0
"66","Bharatpur","Rajasthan",1958,4289.64,3970.917,1958,2978.18775,0
"67","Bharuch","Gujarat",1958,4731.75,4539.314,1958,3404.4855,0
"68","Bhavnagar","Gujarat",1958,3614.66,3508.892,1958,2631.669,0
"69","Bhilwara","Rajasthan",1958,3896.38,3636.765,1958,2727.57375,0
"70","Bhind","Madhya Pradesh",1958,4358.96,4382.589,1958,3286.94175,0
"71","Bhiwani","Haryana",1958,2930.01,2768.354,1958,2076.2655,0
"72","Bhojpur","Bihar",1958,5127.11,5086.13,1958,3814.5975,0
"73","Bhopal","Madhya Pradesh",1958,4865.12,4787.04,1958,3590.28,0
"74","Bid","Maharashtra",1958,4182.42,4266.907,1958,3200.18025,0
"75","Bidar","Karnataka",1958,4802.72,5084.663,1958,3813.49725,0
"76","Bijapur","Karnataka",1958,4769.12,4977.164,1958,3732.873,0
"77","Bijnor","Uttar Pradesh",1958,3992.14,3719.988,1958,2789.991,0
"78","Bikaner","Rajasthan",1958,1481.87,1800.691,1958,1350.51825,0
"79","Bilaspur","Chhattisgarh",1958,3716.47,3530.318,1958,2647.7385,0
"80","Birbhum","West Bengal",1958,6613.01,6650.025,1958,4987.51875,0
"81","Bishnupur","Manipur",1958,10338.76,10452.099,1958,7839.07425,0
"82","Bokaro","Jharkhand",1958,7133.93,6809.312,1958,5106.984,0
"83","Bolangir","Orissa",1958,6617.72,6342.124,1958,4756.593,0
"84","Boudh","Orissa",1958,6709.31,6285.472,1958,4714.104,0
"85","Bulandshahr","Uttar Pradesh",1958,4064.65,3770.667,1958,2828.00025,0
"86","Buldana","Maharashtra",1958,5209.39,5000.726,1958,3750.5445,0
"87","Bundi","Rajasthan",1958,4189.37,3867.582,1958,2900.6865,0
"88","Buxar","Bihar",1958,5065.65,5050.723,1958,3788.04225,0
"89","Cachar","Assam",1958,11453.22,11483.566,1958,8612.6745,0
"90","Chamba","Himachal Pradesh",1958,5989.44,5706.865,1958,4280.14875,0
"91","Chamoli","Uttaranchal",1958,7225.22,6930.991,1958,5198.24325,0
"92","Champawat","Uttaranchal",1958,4782.03,4583.996,1958,3437.997,0
"93","Champhai","Mizoram",1958,9858.72,10309.734,1958,7732.3005,0
"94","Chamrajnagar","Karnataka",1958,7662.07,7284.401,1958,5463.30075,0
"95","Chandauli","Uttar Pradesh",1958,5662.46,5626.57,1958,4219.9275,0
"96","Chandel","Manipur",1958,10354.55,10559.474,1958,7919.6055,0
"97","Chandigarh","Chandigarh",1958,3210,2976.3,1958,2232.225,0
"98","Chandrapur","Maharashtra",1958,5232.02,5532.845,1958,4149.63375,0
"99","Changlang","Arunachal Pradesh",1958,9571.93,10763.627,1958,8072.72025,0
"100","Chatra","Jharkhand",1958,7175.68,6498.229,1958,4873.67175,0
"101","Chennai","Tamil Nadu",1958,4930.82,4932.494,1958,3699.3705,0
"102","Chhatarpur","Madhya Pradesh",1958,4992.67,5404.489,1958,4053.36675,0
"103","Chhindwara","Madhya Pradesh",1958,5715.62,5861.27,1958,4395.9525,0
"104","Chikmagalur","Karnataka",1958,10895.05,10215.991,1958,7661.99325,0
"105","Chitradurga","Karnataka",1958,6615.79,6300.525,1958,4725.39375,0
"106","Chitrakoot","Uttar Pradesh",1958,5474.5,5850.432,1958,4387.824,0
"107","Chittaurgarh","Rajasthan",1958,4218.52,3969.294,1958,2976.9705,0
"108","Chittoor","Andhra Pradesh",1958,5153.22,5118.744,1958,3839.058,0
"109","Churachandpur","Manipur",1958,10206.07,10312.171,1958,7734.12825,0
"110","Churu","Rajasthan",1958,2258.26,2289.385,1958,1717.03875,0
"111","Coimbatore","Tamil Nadu",1958,9404.18,9469.84,1958,7102.38,0
"112","Cuddalore","Tamil Nadu",1958,4410.42,4492.199,1958,3369.14925,0
"113","Cuddapah","Andhra Pradesh",1958,4771.71,4727.748,1958,3545.811,0
"114","Cuttack","Orissa",1958,6380.73,6095.8,1958,4571.85,0
"115","Dadra and Nagar Haveli","Dadra and Nagar Haveli",1958,6592.96,6103.586,1958,4577.6895,0
"116","Dahod","Gujarat",1958,4216.91,4101.511,1958,3076.13325,0
"117","Dakshin Dinajpur","West Bengal",1958,6368.06,6429.395,1958,4822.04625,0
"118","Dakshin Kannad","Karnataka",1958,3152.62,2964.744,1958,2223.558,0
"119","Daman","Daman and Diu",1958,0,0,1958,0,0
"120","Damoh","Madhya Pradesh",1958,5445.12,5655.937,1958,4241.95275,0
"121","Dantewada","Chhattisgarh",1958,6129.9,6542.566,1958,4906.9245,0
"122","Darbhanga","Bihar",1958,4870.82,4939.153,1958,3704.36475,0
"123","Darjiling","West Bengal",1958,7324.41,7244.671,1958,5433.50325,0
"124","Darrang","Assam",1958,8661.95,9051.754,1958,6788.8155,0
"125","Datia","Madhya Pradesh",1958,4741.53,4656.626,1958,3492.4695,0
"126","Dausa","Rajasthan",1958,3682.29,3467.233,1958,2600.42475,0
"127","Davanagere","Karnataka",1958,8917.01,8637.663,1958,6478.24725,0
"128","Dehra Dun","Uttaranchal",1958,4247.97,3993.484,1958,2995.113,0
"129","Delhi","Delhi",1958,3670.43,3300.996,1958,2475.747,0
"130","Deogarh","Orissa",1958,6652.42,6290.361,1958,4717.77075,0
"131","Deoghar","Jharkhand",1958,6687.47,6561.246,1958,4920.9345,0
"132","Deoria","Uttar Pradesh",1958,4400.67,4519.644,1958,3389.733,0
"133","Dewas","Madhya Pradesh",1958,4684.68,4559.23,1958,3419.4225,0
"134","Dhalai","Tripura",1958,9702.79,9644.817,1958,7233.61275,0
"135","Dhamtari","Chhattisgarh",1958,6703.1,6866.252,1958,5149.689,0
"136","Dhanbad","Jharkhand",1958,6839.97,6713.297,1958,5034.97275,0
"137","Dhar","Madhya Pradesh",1958,4772.46,4544.327,1958,3408.24525,0
"138","Dharmapuri","Tamil Nadu",1958,5028.78,4773.111,1958,3579.83325,0
"139","Dharwad","Karnataka",1958,9697.02,9922.04,1958,7441.53,0
"140","Dhaulpur","Rajasthan",1958,4493.6,4214.138,1958,3160.6035,0
"141","Dhemaji","Assam",1958,8861.43,10076.211,1958,7557.15825,0
"142","Dhenkanal","Orissa",1958,6464.92,6197.596,1958,4648.197,0
"143","Dhuburi","Assam",1958,8246.06,8219.368,1958,6164.526,0
"144","Dhule","Maharashtra",1958,4967.18,4468.195,1958,3351.14625,0
"145","Dibrugarh","Assam",1958,8459.43,9637.394,1958,7228.0455,0
"146","Dindigul","Tamil Nadu",1958,7186.91,7519.191,1958,5639.39325,0
"147","Dindori","Madhya Pradesh",1958,6410.24,6703.808,1958,5027.856,0
"148","Doda","Jammu and Kashmir",1958,6715.76,6466.51,1958,4849.8825,0
"149","Dumka","Jharkhand",1958,6662.77,6561.223,1958,4920.91725,0
"150","Dungarpur","Rajasthan",1958,3967.36,3820.32,1958,2865.24,0
"151","Durg","Chhattisgarh",1958,6115.26,6230.393,1958,4672.79475,0
"152","East","Sikkim",1958,7861.29,7929.787,1958,5947.34025,0
"153","East Garo Hills","Meghalaya",1958,8800.21,8742.729,1958,6557.04675,0
"154","East Godavari","Andhra Pradesh",1958,6148.38,6058.281,1958,4543.71075,0
"155","East Imphal","Manipur",1958,10163.72,10342.447,1958,7756.83525,0
"156","East Kameng","Arunachal Pradesh",1958,7269.94,7907.647,1958,5930.73525,0
"157","East Khasi Hills","Meghalaya",1958,10712.86,10748.245,1958,8061.18375,0
"158","East Midnapore","West Bengal",1958,6816.52,7041.863,1958,5281.39725,0
"159","East Nimar","Madhya Pradesh",1958,4612.65,4666.793,1958,3500.09475,0
"160","East Siang","Arunachal Pradesh",1958,9828.84,11143.752,1958,8357.814,0
"161","Ernakulam","Kerala",1958,3091.3,3342.002,1958,2506.5015,0
"162","Erode","Tamil Nadu",1958,6830.7,6709.836,1958,5032.377,0
"163","Etah","Uttar Pradesh",1958,4165.19,4063.976,1958,3047.982,0
"164","Etawah","Uttar Pradesh",1958,3964.14,4058.732,1958,3044.049,0
"165","Faizabad","Uttar Pradesh",1958,4359.47,4485.7,1958,3364.275,0
"166","Faridabad","Haryana",1958,4058.73,3707.064,1958,2780.298,0
"167","Faridkot","Punjab",1958,2393.13,2397.876,1958,1798.407,0
"168","Farrukhabad","Uttar Pradesh",1958,4075.59,4011.188,1958,3008.391,0
