"","District.ID","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"1","Adilabad","Andhra Pradesh",1911,4480.65,5037.8,1911,3778.35,0
"2","Agra","Uttar Pradesh",1911,3197.73,3685.488,1911,2764.116,0
"3","Ahmadabad","Gujarat",1911,1578.54,2559.422,1911,1919.5665,1
"4","Ahmednagar","Maharashtra",1911,4596.97,5302.575,1911,3976.93125,0
"5","Aizawl","Mizoram",1911,11267.63,10479.291,1911,7859.46825,0
"6","Ajmer","Rajasthan",1911,2009.88,2959.802,1911,2219.8515,1
"7","Akola","Maharashtra",1911,3917.29,4531.188,1911,3398.391,0
"8","Alappuzha","Kerala",1911,1.42,1.374,1911,1.0305,0
"9","Aligarh","Uttar Pradesh",1911,3154.6,3527.866,1911,2645.8995,0
"10","Allahabad","Uttar Pradesh",1911,5240,5215.907,1911,3911.93025,0
"11","Almora","Uttaranchal",1911,4670.66,4817.342,1911,3613.0065,0
"12","Alwar","Rajasthan",1911,2577.69,3325.512,1911,2494.134,0
"13","Ambala","Haryana",1911,2790.33,2912.88,1911,2184.66,0
"14","Ambedkar Nagar","Uttar Pradesh",1911,4334.84,4398.986,1911,3299.2395,0
"15","Amravati","Maharashtra",1911,4006.37,4603.454,1911,3452.5905,0
"16","Amreli","Gujarat",1911,2093.68,2885.24,1911,2163.93,1
"17","Amritsar","Punjab",1911,3946.16,3913.661,1911,2935.24575,0
"18","Anand","Gujarat",1911,2167.51,3334.841,1911,2501.13075,1
"19","Anantapur","Andhra Pradesh",1911,3776.2,4194.4,1911,3145.8,0
"20","Anantnag (Kashmir South)","Jammu and Kashmir",1911,7157.06,7045.458,1911,5284.0935,0
"21","Andaman Islands","Andaman and Nicobar",1911,988.81,1035.193,1911,776.39475,0
"22","Angul","Orissa",1911,5893.8,6191.915,1911,4643.93625,0
"23","Araria","Bihar",1911,5656.48,5480.069,1911,4110.05175,0
"24","Ariyalur","Tamil Nadu",1911,3961.06,4460.353,1911,3345.26475,0
"25","Auraiya","Uttar Pradesh",1911,3343.68,3594.302,1911,2695.7265,0
