"","District.ID","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"1","Adilabad","Andhra Pradesh",1994,6035.01,5461.612,1994,4096.209,0
"2","Agra","Uttar Pradesh",1994,4308.89,4011.251,1994,3008.43825,0
"3","Ahmadabad","Gujarat",1994,3363.91,2689.793,1994,2017.34475,0
"4","Ahmednagar","Maharashtra",1994,5939.67,5337.15,1994,4002.8625,0
"5","Aizawl","Mizoram",1994,10113.52,10259.086,1994,7694.3145,0
"6","Ajmer","Rajasthan",1994,3561.36,3278.804,1994,2459.103,0
"7","Akola","Maharashtra",1994,5064.01,4667.562,1994,3500.6715,0
"8","Alappuzha","Kerala",1994,1.35,1.396,1994,1.047,0
"9","Aligarh","Uttar Pradesh",1994,3856.64,3712.248,1994,2784.186,0
"10","Allahabad","Uttar Pradesh",1994,5919.9,4946.705,1994,3710.02875,0
"11","Almora","Uttaranchal",1994,4395.7,4428.733,1994,3321.54975,0
"12","Alwar","Rajasthan",1994,3898.44,3702.627,1994,2776.97025,0
"13","Ambala","Haryana",1994,2883.28,3030.312,1994,2272.734,0
"14","Ambedkar Nagar","Uttar Pradesh",1994,4469.67,4027.214,1994,3020.4105,0
"15","Amravati","Maharashtra",1994,5264.96,4729.133,1994,3546.84975,0
"16","Amreli","Gujarat",1994,3427.59,2865.402,1994,2149.0515,0
"17","Amritsar","Punjab",1994,4028.09,4358.699,1994,3269.02425,0
"18","Anand","Gujarat",1994,4485.08,3550.893,1994,2663.16975,0
"19","Anantapur","Andhra Pradesh",1994,4390.84,4501.916,1994,3376.437,0
"20","Anantnag (Kashmir South)","Jammu and Kashmir",1994,7562.54,7436.14,1994,5577.105,0
"21","Andaman Islands","Andaman and Nicobar",1994,1118.12,1024.988,1994,768.741,0
"22","Angul","Orissa",1994,6732.17,6490.174,1994,4867.6305,0
"23","Araria","Bihar",1994,5029.05,5089.648,1994,3817.236,0
"24","Ariyalur","Tamil Nadu",1994,4086.16,4484.586,1994,3363.4395,0
"25","Auraiya","Uttar Pradesh",1994,4126.13,3811.347,1994,2858.51025,0
"26","Aurangabad (Bihar)","Bihar",1994,5807.72,5235.461,1994,3926.59575,0
"27","Aurangabad (Maharashtra)","Maharashtra",1994,4546.61,4203.553,1994,3152.66475,0
"28","Azamgarh","Uttar Pradesh",1994,4627.77,4263.424,1994,3197.568,0
"29","Badaun","Uttar Pradesh",1994,3763.74,3726.771,1994,2795.07825,0
"30","Bagalkot","Karnataka",1994,6660.62,6141.844,1994,4606.383,0
"31","Bagdam","Jammu and Kashmir",1994,8537.76,8279.739,1994,6209.80425,0
"32","Bageshwar","Uttaranchal",1994,5911.37,6005.921,1994,4504.44075,0
"33","Baghpat","Uttar Pradesh",1994,3372.49,3239.884,1994,2429.913,0
"34","Bahraich","Uttar Pradesh",1994,4365.97,4181.442,1994,3136.0815,0
"35","Balaghat","Madhya Pradesh",1994,7243.03,6084.756,1994,4563.567,0
"36","Baleshwar","Orissa",1994,7366.7,7351.741,1994,5513.80575,0
"37","Ballia","Uttar Pradesh",1994,4164.55,4148.977,1994,3111.73275,0
"38","Balrampur","Uttar Pradesh",1994,4491.39,4254.502,1994,3190.8765,0
"39","Banas Kantha","Gujarat",1994,2381.49,1964.528,1994,1473.396,0
"40","Banda","Uttar Pradesh",1994,5849.2,5029.648,1994,3772.236,0
"41","Bangalore Rural","Karnataka",1994,4626.12,5022.515,1994,3766.88625,0
"42","Bangalore Urban","Karnataka",1994,4590.28,4987.32,1994,3740.49,0
"43","Banka","Bihar",1994,5877.2,5960.81,1994,4470.6075,0
