"","District.ID","Ten.Year.Moving.Avg","Year"
"1","Adilabad",414.663583333333,1905
"2","Agra",301.35025,1905
"3","Ahmadabad",200.038416666667,1905
"4","Ahmednagar",422.277,1905
"5","Aizawl",857.268416666667,1905
"6","Ajmer",239.719916666667,1905
"7","Akola",363.123416666667,1905
"8","Alappuzha",0.115583333333334,1905
"9","Aligarh",283.168916666667,1905
"10","Allahabad",416.621583333333,1905
"11","Almora",386.106333333333,1905
"12","Alwar",262.877833333333,1905
"13","Ambala",229.373666666667,1905
"14","Ambedkar Nagar",353.917416666667,1905
"15","Amravati",368.3475,1905
"16","Amreli",223.616416666667,1905
"17","Amritsar",298.215833333333,1905
"18","Anand",259.85325,1905
"19","Anantapur",358.753083333333,1905
"20","Anantnag (Kashmir South)",583.553666666666,1905
"21","Andaman Islands",87.7834166666667,1905
"22","Angul",514.3505,1905
"23","Araria",439.8935,1905
"24","Ariyalur",376.133416666667,1905
"25","Auraiya",294.251,1905
"26","Aurangabad",385.676333333333,1905
"27","Azamgarh",376.11075,1905
"28","Badaun",300.803333333333,1905
"29","Bagalkot",484.79375,1905
"30","Bagdam",662.054166666667,1905
"31","Bageshwar",528.829333333333,1905
"32","Baghpat",237.788583333333,1905
"33","Bahraich",367.591333333333,1905
"34","Balaghat",501.711,1905
"35","Baleshwar",571.51225,1905
"36","Ballia",370.576583333333,1905
"37","Balrampur",376.561333333333,1905
"38","Banas Kantha",144.431666666667,1905
"39","Banda",404.708916666667,1905
"40","Bangalore Rural",418.553916666667,1905
"41","Bangalore Urban",414.791833333333,1905
"42","Banka",494.90325,1905
"43","Bankura",581.854916666667,1905
"44","Banswara",296.932916666667,1905
"45","Bara Banki",351.483416666667,1905
"46","Baragarh",505.67225,1905
"47","Baramula (Kashmir North)",693.208416666667,1905
"48","Baran",315.984166666667,1905
"49","Barddhaman",563.5035,1905
"50","Bareilly",304.46275,1905
"51","Barmer",134.4835,1905
"52","Barpeta",740.84975,1905
"53","Barwani",298.182166666667,1905
"54","Bastar",573.377916666667,1905
"55","Basti",337.162083333333,1905
"56","Bathinda",175.471666666667,1905
"57","Begusarai",414.152583333333,1905
"58","Belgaum",645.316916666667,1905
"59","Bellary",422.148416666667,1905
"60","Betul",402.375833333333,1905
"61","Bhabua",443.860916666667,1905
