"","District.ID","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"1","Adilabad","Andhra Pradesh",1984,4541.39,5308.285,1984,3981.21375,0
"2","Agra","Uttar Pradesh",1984,3518.76,3844.243,1984,2883.18225,0
"3","Ahmadabad","Gujarat",1984,2272.94,2413.231,1984,1809.92325,0
"4","Ahmednagar","Maharashtra",1984,4508.65,5082.619,1984,3811.96425,0
"5","Aizawl","Mizoram",1984,10812.17,10310.074,1984,7732.5555,0
"6","Ajmer","Rajasthan",1984,2946.95,2966.573,1984,2224.92975,0
"7","Akola","Maharashtra",1984,3937.9,4541.467,1984,3406.10025,0
"8","Alappuzha","Kerala",1984,1.42,1.335,1984,1.00125,0
"9","Aligarh","Uttar Pradesh",1984,3232.67,3710.149,1984,2782.61175,0
"10","Allahabad","Uttar Pradesh",1984,4934.13,5215.628,1984,3911.721,0
"11","Almora","Uttaranchal",1984,4230.99,4732.361,1984,3549.27075,0
"12","Alwar","Rajasthan",1984,3118.79,3525.013,1984,2643.75975,0
"13","Ambala","Haryana",1984,2966.74,3103.552,1984,2327.664,0
"14","Ambedkar Nagar","Uttar Pradesh",1984,4240.54,4509.576,1984,3382.182,0
"15","Amravati","Maharashtra",1984,4145.75,4586.494,1984,3439.8705,0
"16","Amreli","Gujarat",1984,2536.04,2687.5,1984,2015.625,0
"17","Amritsar","Punjab",1984,4049.44,4448.257,1984,3336.19275,0
"18","Anand","Gujarat",1984,2988.04,3134.164,1984,2350.623,0
"19","Anantapur","Andhra Pradesh",1984,3912.54,4186.587,1984,3139.94025,0
"20","Anantnag (Kashmir South)","Jammu and Kashmir",1984,6882.8,7714.209,1984,5785.65675,0
"21","Andaman Islands","Andaman and Nicobar",1984,1053.05,1009.858,1984,757.3935,0
"22","Angul","Orissa",1984,6415.66,6436.665,1984,4827.49875,0
"23","Araria","Bihar",1984,6045.47,5571.088,1984,4178.316,0
