"","District.ID","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"1","Adilabad","Andhra Pradesh",1951,4760.14,5158.202,1951,3868.6515,0
"2","Agra","Uttar Pradesh",1951,3924.48,4002.776,1951,3002.082,0
"3","Ahmadabad","Gujarat",1951,1790.71,2421.142,1951,1815.8565,1
"4","Ahmednagar","Maharashtra",1951,5062.02,5399.083,1951,4049.31225,0
"5","Aizawl","Mizoram",1951,11528.88,11243.505,1951,8432.62875,0
"6","Ajmer","Rajasthan",1951,2982.99,3181.737,1951,2386.30275,0
"7","Akola","Maharashtra",1951,4485.83,4770.665,1951,3577.99875,0
"8","Alappuzha","Kerala",1951,1.41,1.385,1951,1.03875,0
"9","Aligarh","Uttar Pradesh",1951,3545.12,3686.343,1951,2764.75725,0
"10","Allahabad","Uttar Pradesh",1951,5325.54,5471.62,1951,4103.715,0
"11","Almora","Uttaranchal",1951,4375.31,4754.066,1951,3565.5495,0
"12","Alwar","Rajasthan",1951,3277.41,3481.279,1951,2610.95925,0
"13","Ambala","Haryana",1951,2783.51,2865.23,1951,2148.9225,0
"14","Ambedkar Nagar","Uttar Pradesh",1951,4517.32,4635.27,1951,3476.4525,0
"15","Amravati","Maharashtra",1951,4398.18,4692.576,1951,3519.432,0
"16","Amreli","Gujarat",1951,2123.25,2695.813,1951,2021.85975,0
"17","Amritsar","Punjab",1951,3850.05,3730.385,1951,2797.78875,0
"18","Anand","Gujarat",1951,2196.45,3047.75,1951,2285.8125,1
"19","Anantapur","Andhra Pradesh",1951,4104.45,4264.765,1951,3198.57375,0
"20","Anantnag (Kashmir South)","Jammu and Kashmir",1951,7286.86,6762.812,1951,5072.109,0
"21","Andaman Islands","Andaman and Nicobar",1951,1070.68,1062.005,1951,796.50375,0
"22","Angul","Orissa",1951,6741.73,6374.941,1951,4781.20575,0
"23","Araria","Bihar",1951,5665.96,5632.271,1951,4224.20325,0
"24","Ariyalur","Tamil Nadu",1951,4278.49,4324.832,1951,3243.624,0
"25","Auraiya","Uttar Pradesh",1951,3971.67,3999.894,1951,2999.9205,0
"26","Aurangabad (Bihar)","Bihar",1951,5612.66,5688.023,1951,4266.01725,0
"27","Aurangabad (Maharashtra)","Maharashtra",1951,3857.16,4263.971,1951,3197.97825,0
"28","Azamgarh","Uttar Pradesh",1951,4769.6,4906.892,1951,3680.169,0
"29","Badaun","Uttar Pradesh",1951,3643.8,3869.726,1951,2902.2945,0
"30","Bagalkot","Karnataka",1951,5927.86,6064.646,1951,4548.4845,0
"31","Bagdam","Jammu and Kashmir",1951,7810.92,7392.473,1951,5544.35475,0
"32","Bageshwar","Uttaranchal",1951,6070.57,6415.587,1951,4811.69025,0
"33","Baghpat","Uttar Pradesh",1951,2760.06,3038.171,1951,2278.62825,0
"34","Bahraich","Uttar Pradesh",1951,4528.86,4700.3,1951,3525.225,0
"35","Balaghat","Madhya Pradesh",1951,5857.18,6102.961,1951,4577.22075,0
"36","Baleshwar","Orissa",1951,7265.76,7092.802,1951,5319.6015,0
"37","Ballia","Uttar Pradesh",1951,4692.53,4750.531,1951,3562.89825,0
"38","Balrampur","Uttar Pradesh",1951,4709.67,4849.22,1951,3636.915,0
"39","Banas Kantha","Gujarat",1951,1386.1,1729.023,1951,1296.76725,0
"40","Banda","Uttar Pradesh",1951,5534.98,5450.246,1951,4087.6845,0
"41","Bangalore Rural","Karnataka",1951,4845.59,4825.593,1951,3619.19475,0
"42","Bangalore Urban","Karnataka",1951,4797.42,4756.683,1951,3567.51225,0
"43","Banka","Bihar",1951,6455.62,6324.582,1951,4743.4365,0
"44","Bankura","West Bengal",1951,7261.75,7135.652,1951,5351.739,0
"45","Banswara","Rajasthan",1951,3175.89,3734.878,1951,2801.1585,0
"46","Bara Banki","Uttar Pradesh",1951,4430.21,4591.96,1951,3443.97,0
"47","Baragarh","Orissa",1951,6364.32,6159.974,1951,4619.9805,0
"48","Baramula (Kashmir North)","Jammu and Kashmir",1951,8095.64,7580.809,1951,5685.60675,0
"49","Baran","Rajasthan",1951,3846.84,4068.448,1951,3051.336,0
"50","Barddhaman","West Bengal",1951,6879.2,6937.91,1951,5203.4325,0
"51","Bareilly","Uttar Pradesh",1951,3537.27,3856.695,1951,2892.52125,0
"52","Barmer","Rajasthan",1951,1269.1,1602.106,1951,1201.5795,0
"53","Barpeta","Assam",1951,9285.71,9315.364,1951,6986.523,0
"54","Barwani","Madhya Pradesh",1951,3171.88,3831.641,1951,2873.73075,0
"55","Bastar","Chhattisgarh",1951,7206.91,7074.683,1951,5306.01225,0
"56","Basti","Uttar Pradesh",1951,4303.08,4400.355,1951,3300.26625,0
"57","Bathinda","Punjab",1951,2023.68,2160.252,1951,1620.189,0
"58","Begusarai","Bihar",1951,5478.53,5349.297,1951,4011.97275,0
"59","Belgaum","Karnataka",1951,7345,8011.045,1951,6008.28375,0
"60","Bellary","Karnataka",1951,5161.18,5100.349,1951,3825.26175,0
"61","Betul","Madhya Pradesh",1951,4875.09,5090.268,1951,3817.701,0
"62","Bhabua","Bihar",1951,5445.66,5692.185,1951,4269.13875,0
"63","Bhadrak","Orissa",1951,7276.93,7006.689,1951,5255.01675,0
"64","Bhagalpur","Bihar",1951,5825.99,5795.713,1951,4346.78475,0
"65","Bhandara","Maharashtra",1951,5475.77,5736.553,1951,4302.41475,0
"66","Bharatpur","Rajasthan",1951,3670.1,3847.191,1951,2885.39325,0
"67","Bharuch","Gujarat",1951,3042.17,4070.015,1951,3052.51125,1
"68","Bhavnagar","Gujarat",1951,2405.05,3082.946,1951,2312.2095,0
"69","Bhilwara","Rajasthan",1951,3169.1,3509.307,1951,2631.98025,0
"70","Bhind","Madhya Pradesh",1951,4285.05,4277.913,1951,3208.43475,0
"71","Bhiwani","Haryana",1951,2298.04,2613.898,1951,1960.4235,0
"72","Bhojpur","Bihar",1951,5151.25,5196.755,1951,3897.56625,0
"73","Bhopal","Madhya Pradesh",1951,4411.53,4499.866,1951,3374.8995,0
"74","Bid","Maharashtra",1951,3629.3,3951.621,1951,2963.71575,0
"75","Bidar","Karnataka",1951,4613.96,4769.16,1951,3576.87,0
"76","Bijapur","Karnataka",1951,4577.05,4599.102,1951,3449.3265,0
"77","Bijnor","Uttar Pradesh",1951,3280.84,3559.242,1951,2669.4315,0
"78","Bikaner","Rajasthan",1951,1389.62,1671.802,1951,1253.8515,0
"79","Bilaspur","Chhattisgarh",1951,3574.48,3529.11,1951,2646.8325,0
"80","Birbhum","West Bengal",1951,6701.35,6891.773,1951,5168.82975,0
"81","Bishnupur","Manipur",1951,11875.5,11163.893,1951,8372.91975,0
"82","Bokaro","Jharkhand",1951,7189.94,7035.688,1951,5276.766,0
"83","Bolangir","Orissa",1951,6472.02,6159.628,1951,4619.721,0
"84","Boudh","Orissa",1951,6583.15,6176.42,1951,4632.315,0
