"","District.ID","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"1","Adilabad","Andhra Pradesh",1945,5360.9,5093.798,1945,3820.3485,0
"2","Agra","Uttar Pradesh",1945,3817.08,3907.422,1945,2930.5665,0
"3","Ahmadabad","Gujarat",1945,3170.81,2581.831,1945,1936.37325,0
"4","Ahmednagar","Maharashtra",1945,4734.34,5214.277,1945,3910.70775,0
"5","Aizawl","Mizoram",1945,10149.37,10642.038,1945,7981.5285,0
"6","Ajmer","Rajasthan",1945,3203.53,3160.492,1945,2370.369,0
"7","Akola","Maharashtra",1945,4444.8,4716.782,1945,3537.5865,0
"8","Alappuzha","Kerala",1945,1.27,1.428,1945,1.071,0
"9","Aligarh","Uttar Pradesh",1945,3655.08,3612.746,1945,2709.5595,0
"10","Allahabad","Uttar Pradesh",1945,5408.55,5492.438,1945,4119.3285,0
"11","Almora","Uttaranchal",1945,4918.49,4707.699,1945,3530.77425,0
"12","Alwar","Rajasthan",1945,3672.78,3445.421,1945,2584.06575,0
"13","Ambala","Haryana",1945,2929,2828.82,1945,2121.615,0
"14","Ambedkar Nagar","Uttar Pradesh",1945,4583.05,4587.466,1945,3440.5995,0
"15","Amravati","Maharashtra",1945,4522.86,4789.884,1945,3592.413,0
"16","Amreli","Gujarat",1945,3067.83,2688.456,1945,2016.342,0
"17","Amritsar","Punjab",1945,4131.52,3734.771,1945,2801.07825,0
"18","Anand","Gujarat",1945,3991.72,3274.329,1945,2455.74675,0
"19","Anantapur","Andhra Pradesh",1945,3564.27,4192.886,1945,3144.6645,0
"20","Anantnag (Kashmir South)","Jammu and Kashmir",1945,6987.44,6447.478,1945,4835.6085,0
"21","Andaman Islands","Andaman and Nicobar",1945,1047.33,1039.164,1945,779.373,0
"22","Angul","Orissa",1945,6557.73,6501.099,1945,4875.82425,0
"23","Araria","Bihar",1945,5607.82,5550.981,1945,4163.23575,0
"24","Ariyalur","Tamil Nadu",1945,3730.17,4394.224,1945,3295.668,0
"25","Auraiya","Uttar Pradesh",1945,3711.73,3827.047,1945,2870.28525,0
"26","Aurangabad (Bihar)","Bihar",1945,5731.99,6073.436,1945,4555.077,0
"27","Aurangabad (Maharashtra)","Maharashtra",1945,3817.08,4132.804,1945,3099.603,0
"28","Azamgarh","Uttar Pradesh",1945,4876.87,4909.376,1945,3682.032,0
"29","Badaun","Uttar Pradesh",1945,3930.23,3804.229,1945,2853.17175,0
"30","Bagalkot","Karnataka",1945,5466.22,5884.062,1945,4413.0465,0
"31","Bagdam","Jammu and Kashmir",1945,7585.8,7073.678,1945,5305.2585,0
"32","Bageshwar","Uttaranchal",1945,6799.2,6416.584,1945,4812.438,0
"33","Baghpat","Uttar Pradesh",1945,3077.66,2988.472,1945,2241.354,0
"34","Bahraich","Uttar Pradesh",1945,4611.57,4608.935,1945,3456.70125,0
"35","Balaghat","Madhya Pradesh",1945,6435.51,6349.083,1945,4761.81225,0
"36","Baleshwar","Orissa",1945,6674.5,7113.769,1945,5335.32675,0
"37","Ballia","Uttar Pradesh",1945,4722.55,4837.817,1945,3628.36275,0
"38","Balrampur","Uttar Pradesh",1945,4767.15,4765.332,1945,3573.999,0
"39","Banas Kantha","Gujarat",1945,2304.43,1880.805,1945,1410.60375,0
"40","Banda","Uttar Pradesh",1945,5097.24,5343.582,1945,4007.6865,0
"41","Bangalore Rural","Karnataka",1945,4056.78,4808.987,1945,3606.74025,0
"42","Bangalore Urban","Karnataka",1945,4121.88,4803.18,1945,3602.385,0
"43","Banka","Bihar",1945,6482.31,6527.658,1945,4895.7435,0
"44","Bankura","West Bengal",1945,7166.27,7385.589,1945,5539.19175,0
"45","Banswara","Rajasthan",1945,4231.4,3887.441,1945,2915.58075,0
"46","Bara Banki","Uttar Pradesh",1945,4410.92,4500.123,1945,3375.09225,0
"47","Baragarh","Orissa",1945,6345.6,6314.966,1945,4736.2245,0
"48","Baramula (Kashmir North)","Jammu and Kashmir",1945,7414.1,7126.902,1945,5345.1765,0
