"","District.ID","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"1","Adilabad","Andhra Pradesh",1912,4550.93,5157.038,1912,3867.7785,0
"2","Agra","Uttar Pradesh",1912,3980.81,3869.33,1912,2901.9975,0
"3","Ahmadabad","Gujarat",1912,2887.86,2679.012,1912,2009.259,0
"4","Ahmednagar","Maharashtra",1912,4175.28,5347.895,1912,4010.92125,0
"5","Aizawl","Mizoram",1912,10675.48,10527.533,1912,7895.64975,0
"6","Ajmer","Rajasthan",1912,3416.29,3176.433,1912,2382.32475,0
"7","Akola","Maharashtra",1912,4062.48,4681.786,1912,3511.3395,0
"8","Alappuzha","Kerala",1912,1.41,1.381,1912,1.03575,0
"9","Aligarh","Uttar Pradesh",1912,3818.14,3686.2,1912,2764.65,0
"10","Allahabad","Uttar Pradesh",1912,4691.82,5331.929,1912,3998.94675,0
"11","Almora","Uttaranchal",1912,4870.07,4977.669,1912,3733.25175,0
"12","Alwar","Rajasthan",1912,3758.45,3522.022,1912,2641.5165,0
"13","Ambala","Haryana",1912,2927.32,3004.174,1912,2253.1305,0
"14","Ambedkar Nagar","Uttar Pradesh",1912,4135.16,4505.6,1912,3379.2,0
"15","Amravati","Maharashtra",1912,4216.76,4733.954,1912,3550.4655,0
"16","Amreli","Gujarat",1912,3397.78,2980.91,1912,2235.6825,0
"17","Amritsar","Punjab",1912,3415.59,4001.98,1912,3001.485,0
"18","Anand","Gujarat",1912,3803.81,3466.793,1912,2600.09475,0
"19","Anantapur","Andhra Pradesh",1912,4434.87,4288.298,1912,3216.2235,0
"20","Anantnag (Kashmir South)","Jammu and Kashmir",1912,6436.75,7124.048,1912,5343.036,0
"21","Andaman Islands","Andaman and Nicobar",1912,939.49,1025.93,1912,769.4475,0
"22","Angul","Orissa",1912,5862.55,6315.15,1912,4736.3625,0
"23","Araria","Bihar",1912,5231.26,5550.008,1912,4162.506,0
"24","Ariyalur","Tamil Nadu",1912,4191.82,4446.564,1912,3334.923,0
"25","Auraiya","Uttar Pradesh",1912,3597.34,3755.776,1912,2816.832,0
"26","Aurangabad (Bihar)","Bihar",1912,4829.22,5580.758,1912,4185.5685,0
"27","Aurangabad (Maharashtra)","Maharashtra",1912,3249.98,4153.497,1912,3115.12275,0
"28","Azamgarh","Uttar Pradesh",1912,4276.87,4735.842,1912,3551.8815,0
"29","Badaun","Uttar Pradesh",1912,3893.68,3863.939,1912,2897.95425,0
"30","Bagalkot","Karnataka",1912,6354.12,5945.542,1912,4459.1565,0
"31","Bagdam","Jammu and Kashmir",1912,6933.01,7925.141,1912,5943.85575,0
"32","Bageshwar","Uttaranchal",1912,6618.7,6856.669,1912,5142.50175,0
"33","Baghpat","Uttar Pradesh",1912,3210.6,3154.139,1912,2365.60425,0
"34","Bahraich","Uttar Pradesh",1912,4434.77,4731.699,1912,3548.77425,0
"35","Balaghat","Madhya Pradesh",1912,5872.1,6230.568,1912,4672.926,0
"36","Baleshwar","Orissa",1912,6837.7,7040.595,1912,5280.44625,0
"37","Ballia","Uttar Pradesh",1912,4079.91,4611.871,1912,3458.90325,0
"38","Balrampur","Uttar Pradesh",1912,4498.43,4861.909,1912,3646.43175,0
"39","Banas Kantha","Gujarat",1912,1811.28,1894.442,1912,1420.8315,0
"40","Banda","Uttar Pradesh",1912,4783.4,5136.219,1912,3852.16425,0
"41","Bangalore Rural","Karnataka",1912,5073.98,4894.582,1912,3670.9365,0
"42","Bangalore Urban","Karnataka",1912,4920.01,4866.243,1912,3649.68225,0
"43","Banka","Bihar",1912,5632.36,6262.414,1912,4696.8105,0
"44","Bankura","West Bengal",1912,6627.52,7183.246,1912,5387.4345,0
"45","Banswara","Rajasthan",1912,3742.66,3778.15,1912,2833.6125,0
"46","Bara Banki","Uttar Pradesh",1912,4196.57,4499.801,1912,3374.85075,0
"47","Baragarh","Orissa",1912,5665.25,6182.228,1912,4636.671,0
"48","Baramula (Kashmir North)","Jammu and Kashmir",1912,6930.37,8152.13,1912,6114.0975,0
"49","Baran","Rajasthan",1912,3890.64,3979.786,1912,2984.8395,0
"50","Barddhaman","West Bengal",1912,6457.12,6947.836,1912,5210.877,0
"51","Bareilly","Uttar Pradesh",1912,3891.85,3888.883,1912,2916.66225,0
"52","Barmer","Rajasthan",1912,1697.14,1825.878,1912,1369.4085,0
"53","Barpeta","Assam",1912,9596.41,9203.218,1912,6902.4135,0
"54","Barwani","Madhya Pradesh",1912,3766.68,3857.48,1912,2893.11,0
"55","Bastar","Chhattisgarh",1912,6574.89,7052.333,1912,5289.24975,0
"56","Basti","Uttar Pradesh",1912,4039.72,4320.215,1912,3240.16125,0
"57","Bathinda","Punjab",1912,2162.12,2397.621,1912,1798.21575,0
"58","Begusarai","Bihar",1912,4655.5,5239.64,1912,3929.73,0
"59","Belgaum","Karnataka",1912,8555.13,7975.729,1912,5981.79675,0
"60","Bellary","Karnataka",1912,5348.58,4969.487,1912,3727.11525,0
"61","Betul","Madhya Pradesh",1912,5003.72,5214.27,1912,3910.7025,0
"62","Bhabua","Bihar",1912,4754.17,5528.116,1912,4146.087,0
"63","Bhadrak","Orissa",1912,6768.21,6859.43,1912,5144.5725,0
"64","Bhagalpur","Bihar",1912,5217.98,5751.043,1912,4313.28225,0
"65","Bhandara","Maharashtra",1912,5407.08,5887.166,1912,4415.3745,0
"66","Bharatpur","Rajasthan",1912,4042.04,3811.989,1912,2858.99175,0
"67","Bharuch","Gujarat",1912,5047.53,4543.529,1912,3407.64675,0
