"","District.ID","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"1","Adilabad","Andhra Pradesh",1946,5046.08,5151.732,1946,3863.799,0
"2","Agra","Uttar Pradesh",1946,3610.88,3994.41,1946,2995.8075,0
"3","Ahmadabad","Gujarat",1946,2928.49,2531.617,1946,1898.71275,0
"4","Ahmednagar","Maharashtra",1946,5359.01,5273.943,1946,3955.45725,0
"5","Aizawl","Mizoram",1946,10684.16,10735.13,1946,8051.3475,0
"6","Ajmer","Rajasthan",1946,2886.2,3196.211,1946,2397.15825,0
"7","Akola","Maharashtra",1946,4516.2,4764.168,1946,3573.126,0
"8","Alappuzha","Kerala",1946,1.54,1.427,1946,1.07025,0
"9","Aligarh","Uttar Pradesh",1946,3155.84,3674.41,1946,2755.8075,0
"10","Allahabad","Uttar Pradesh",1946,5771.97,5573.312,1946,4179.984,0
"11","Almora","Uttaranchal",1946,4435.97,4754.1,1946,3565.575,0
"12","Alwar","Rajasthan",1946,3041.83,3498.741,1946,2624.05575,0
"13","Ambala","Haryana",1946,2748.32,2864.062,1946,2148.0465,0
"14","Ambedkar Nagar","Uttar Pradesh",1946,4908.56,4651.376,1946,3488.532,0
"15","Amravati","Maharashtra",1946,4648.83,4808.572,1946,3606.429,0
"16","Amreli","Gujarat",1946,2982.02,2683.555,1946,2012.66625,0
"17","Amritsar","Punjab",1946,3531.47,3788.989,1946,2841.74175,0
"18","Anand","Gujarat",1946,3797.66,3203.359,1946,2402.51925,0
"19","Anantapur","Andhra Pradesh",1946,4760.27,4188.493,1946,3141.36975,0
"20","Anantnag (Kashmir South)","Jammu and Kashmir",1946,5828.32,6587.986,1946,4940.9895,0
"21","Andaman Islands","Andaman and Nicobar",1946,1002.84,1049.794,1946,787.3455,0
"22","Angul","Orissa",1946,7028.1,6552.213,1946,4914.15975,0
"23","Araria","Bihar",1946,5747.63,5569.757,1946,4177.31775,0
"24","Ariyalur","Tamil Nadu",1946,4976.26,4336.164,1946,3252.123,0
"25","Auraiya","Uttar Pradesh",1946,3575.6,3946.416,1946,2959.812,0
"26","Aurangabad (Bihar)","Bihar",1946,6737.14,6073.327,1946,4554.99525,0
"27","Aurangabad (Maharashtra)","Maharashtra",1946,4236.57,4185.49,1946,3139.1175,0
"28","Azamgarh","Uttar Pradesh",1946,5307.63,4970.35,1946,3727.7625,0
"29","Badaun","Uttar Pradesh",1946,3486.88,3850.263,1946,2887.69725,0
"30","Bagalkot","Karnataka",1946,6622.58,5961.472,1946,4471.104,0
"31","Bagdam","Jammu and Kashmir",1946,6405.38,7224.363,1946,5418.27225,0
"32","Bageshwar","Uttaranchal",1946,6167.64,6490.013,1946,4867.50975,0
"33","Baghpat","Uttar Pradesh",1946,2810.78,3037.341,1946,2278.00575,0
"34","Bahraich","Uttar Pradesh",1946,4826.13,4671.416,1946,3503.562,0
"35","Balaghat","Madhya Pradesh",1946,6372.7,6368.163,1946,4776.12225,0
"36","Baleshwar","Orissa",1946,7425.37,7108.169,1946,5331.12675,0
"37","Ballia","Uttar Pradesh",1946,5337.24,4878.266,1946,3658.6995,0
"38","Balrampur","Uttar Pradesh",1946,5078.09,4825.341,1946,3619.00575,0
"39","Banas Kantha","Gujarat",1946,2197.84,1840.075,1946,1380.05625,0
"40","Banda","Uttar Pradesh",1946,5411.64,5504.228,1946,4128.171,0
"41","Bangalore Rural","Karnataka",1946,5384.87,4790.343,1946,3592.75725,0
"42","Bangalore Urban","Karnataka",1946,5444.59,4781.362,1946,3586.0215,0
"43","Banka","Bihar",1946,6551.24,6516.787,1946,4887.59025,0
"44","Bankura","West Bengal",1946,7492.82,7351.965,1946,5513.97375,0
"45","Banswara","Rajasthan",1946,4013.22,3839.983,1946,2879.98725,0
"46","Bara Banki","Uttar Pradesh",1946,4650.19,4579.722,1946,3434.7915,0
"47","Baragarh","Orissa",1946,7011.81,6372.811,1946,4779.60825,0
"48","Baramula (Kashmir North)","Jammu and Kashmir",1946,6402.29,7297.613,1946,5473.20975,0
"49","Baran","Rajasthan",1946,4152.87,4161.201,1946,3120.90075,0
"50","Barddhaman","West Bengal",1946,7049.33,7048.102,1946,5286.0765,0
