-,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,-,-,-,-,-,,5.2,51,-,-,-,-
2,-,-,-,-,0.2,-,15.8,7.8,3.6,-,-,-
3,-,-,-,-,0.6,-,1,0.2,30.6,1.4,-,-
4,-,-,-,-,2.2,-,31.4,7.4,6.8,-,-,-
5,-,-,2.8,-,0.4,-,28.4,2,5.6,-,-,-
6,-,-,-,-,0.2,Trace,2,27.2,16,-,-,-
7,-,4,-,-,-,-,16.8,11,2.8,-,-,-
8,-,6.4,Trace,-,-,-,14,14.6,-,-,-,-
9,-,-,-,-,-,-,60.8,6.8,-,-,-,-
10,-,15,0.8,-,2.8,-,7.4,8.4,-,-,-,-
11,-,-,0.6,-,1.6,0.2,0.2,Trace,32.4,-,-,-
12,-,9.2,-,0.4,4.6,-,-,78,1.6,-,-,-
13,-,20,-,0.8,0.8,-,-,54,12.2,4.2,-,-
14,-,-,-,-,-,-,18.8,9.8,15.8,-,-,-
15,-,0.4,-,-,-,-,Trace,0.2,0.8,-,-,-
16,-,-,-,Trace,3.4,38.8,1.8,6.6,-,-,-,-
17,-,2.6,-,-,6.4,3.4,0.4,11.6,0.4,0.2,-,-
18,-,19.6,1,-,3.6,0.4,0.6,1.4,4.8,Trace,-,-
19,-,5.6,-,-,10.4,0.4,3.6,13,0.6,-,-,-
20,-,-,1,-,-,15,Trace,-,15.6,-,2.2,-
21,-,-,15.2,-,4,68,16,23.6,0.2,-,1.8,-
22,-,4.8,17.8,-,-,1,5.2,-,-,-,11.2,-
23,-,4.8,4,-,-,0.8,16.8,Trace,-,-,Trace,-
24,-,1,8.6,-,Trace,0.2,2.2,2.4,2.2,-,-,-
25,-,2.4,-,-,0.8,0.2,0.6,-,-,-,-,-
26,-,1.8,4.2,0.4,1.8,9.4,8,-,-,-,-,-
27,-,17.2,10.8,7.2,4.4,10,21.6,41.4,-,-,-,-
28,-,38.6,15.2,5,2,-,6.2,-,-,-,-,-
29,-,-,-,-,5.6,6,5.8,1.2,-,-,-,*74.4
30,-,-,2.2,1,-,11.6,0.2,-,5.6,0.6,-,20.4
31,-,-,6,-,-,-,0.6,-,-,1,-,6
