,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,-,-,-,-,4.6,-,1.8,47.8,2.8,-,-,-
2,_,_,_,Trace,-,-,4.0,21.2,9.8,-,-,0.8
3,-,-,-,-,3.6,-,-,15.8,-,-,-,Trace
4,-,-,-,-,1.4,-,-,6.6,-,Trace,_,_
5,-,-,-,0.2,0.6,-,3.4,1.6,0.4,-,-,-
6,-,18.6,-,-,-,-,-,_,1.0,-,-,-
7,-,-,-,-,-,0.4,-,13.2,-,-,-,-
8,-,-,-,-,-,6.6,0.2,2.0,-,-,-,-
9,-,-,-,-,-,2.0,-,3.0,9.2,-,-,-
10,-,-,-,-,-,,-,3.4,3.2,-,-,-
11,17.0,-,-,-,-,4.2,12.0,Trace,8.6,12.4,-,-
12,-,7.8,Trace,-,-,0.4,62.0,16.0,10.0,0.4,-,-
13,-,2.4,0,-,-,-,5.6,0.1,36.8,-,-,-
14,-,-,1.6,-,12.0,-,46.4,3.4,9.2,-,-,-
15,-,-,-,-,-,-,15.6,5.6,12.8,-,3.0,-
16,-,-,-,-,0.6,-,11.0,2.6,0.2,-,-,-
17,-,-,-,-,-,1.4,6.4,1.4,5.8,-,-,-
18,-,-,-,-,-,2.2,3.8,10.0,0.1,-,-,-
19,-,-,-,-,0.2,0.6,1.0,-,12.4,-,1.0,-
20,Trace,-,1.6,-,1.0,20.6,Trace,16.6,8.6,-,-,-
21,0.2,-,-,-,9.8,2.2,18.6,Trace,_,_,,_
22,-,-,1.4,-,_,Trace,5.8,-,-,-,-,-
23,-,-,5.2,-,6.2,3.6,3.6,-,-,-,-,-
24,-,-,-,-,30.4,2.6,6.8,24.2,-,-,-,-
25,-,-,-,-,0.2,-,19.0,23.4,0.4,-,-,-
26,-,-,-,-,-,2.4,3.2,31.6,-,-,-,-
27,7.8,-,-,-,4.0,2.4,9.2,17.6,-,-,-,-
28,8.2,-,0.6,-,6.6,-,14.6,4.2,-,,_,_
29,9.6,-,-,5.6,-,-,0.2,0.6,-,-,-,-
30,37.0,,-,4.4,-,-,Trace,_,-,-,-,-
31,_,,Trace,,0.2,,1.6,17.2,,-,,-
