,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,-,_,Trace,1.6,-,-,-,37.8,Trace,1.4,-,Trace
2,-,0.6,-,44.0,3.0,7.4,Trace,99.6,1.0,6.6,-,-
3,-,6.4,1.0,39.0,-,16.4,-,1.0,-,8.4,-,-
4,-,-,-,1.0,0.8,2.0,-,,_,Trace,_,_
5,-,-,-,2.0,-,-,1.8,6.4,-,1.2,,-
6,-,-,-,,-,22.2,19.6,-,9.6,6.0,-,-
7,-,,,-,14.4,20.0,9.6,3.6,52.2,0.2,-,-
8,,,,5.0,-,11.2,1.4,0.8,Trace,1.0,-,0.2
9,-,-,-,2.2,-,-,32.2,-,8.6,-,11.6,45.4
10,_,Trace,_,_,Trace,20.6,3.0,6.0,Trace,3.4,0.6,-
11,_,,,_,-,11.2,3.4,13.0,21.6,Trace,-,_
12,_,_,_,0.6,-,13.2,-,11.2,8.0,-,-,-
13,-,_,_,_,Trace,-,4.8,2.0,-,-,-,6.8
14,-,-,1.4,2.2,Trace,21.8,31.2,Trace,_,-,-,-
15,-,-,2.6,1.4,-,-,3.6,-,-,0.8,-,-
16,-,_,Trace,Trace,-,21.6,4.8,-,6.8,-,-,-
17,_,_,_,_,_,Trace,_,_,0.6,-,-,
18,_,Trace,1.4,-,-,8.4,0.4,21.6,-,_,Trace,-
19,9.0,Trace,0.1,_,Trace,1.8,0.6,Trace,3.0,-,0.8,-
20,52.8,-,2.2,-,0,0.6,13.8,3.6,6.8,Trace,-,_
21,-,-,0.4,-,-,-,0.2,7.6,7.0,0.2,-,-
22,-,-,4.0,Trace,_,_,Trace,Trace,_,Trace,-,_
23,_,_,Trace,_,Trace,11.8,3.2,21.6,-,8.0,Trace,-
24,-,5.8,-,Trace,4.2,0.8,8.2,1.2,5.2,-,1.2,-
25,_,0,0,Trace,2.0,2.4,4.0,0.8,-,-,22.0,-
26,-,_,_,Trace,-,23.6,4.6,2.4,-,-,4.0,-
27,Trace,-,-,-,11.6,17.4,20.0,-,-,3.0,-,-
28,,-,0.6,Trace,15.0,1.2,4.8,0.6,-,0.4,-,-
29,-,,9.8,-,-,9.8,13.4,-,-,2.2,-,10.4
30,_,,0,8.4,5.0,2.8,3.0,5.2,1.8,-,17.0,2.6
31,,,2.2,,0.2,,10.6,0.8,,-,,-
