,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,_,_,_,_,_,Trace,-,13.6,3.2,-,-,-
2,-,-,-,-,-,5.4,-,3.0,14.0,-,-,-
3,-,_,_,_,_,4.6,Trace,4.2,4.4,10.4,-,-
4,-,_,_,_,Trace,1.2,Trace,-,5.0,11.8,-,-
5,_,-,-,,_,Trace,_,8.0,23.2,4.4,-,-
6,-,-,-,2.0,-,7.2,4.4,20.0,3.0,-,-,-
7,-,-,1.6,Trace,-,Trace,Trace,Trace,10.4,-,-,-
8,-,1.6,-,-,-,7.6,1.8,15.2,4.6,-,-,-
9,-,9.0,-,-,,-,5.0,11.6,5.2,-,-,-
10,-,3.4,-,-,Trace,Trace,Trace,6.2,0.6,-,-,-
11,-,-,-,-,,-,5.0,22.6,Trace,_,_,_
12,-,-,-,1.0,-,85.0,1.4,32.6,0.4,Trace,-,-
13,3.6,-,-,-,-,0.8,-,25.0,-,-,-,-
14,25.2,-,_,_,Trace,1.6,46.0,25.0,6.4,0.1,-,-
15,34.0,3.6,Trace,,,-,3.4,3.0,0.2,-,-,-
16,58.4,_,Trace,-,Trace,17.0,-,3.0,0.2,-,-,-
17,-,-,11.2,5.4,6.4,-,3.0,0.2,Trace,-,-,-
18,_,Trace,4.0,-,,1.0,3.2,24.2,Trace,-,-,-
19,..,_,Trace,_,12.4,Trace,Trace,29.4,-,_,-,-
20,,-,-,12.0,-,1.2,-,4.0,-,-,-,-
21,-,-,5.0,-,-,10.2,22.0,28.6,2.4,Trace,-,-
22,1.4,-,8.6,4.4,-,1.2,Trace,3.4,-,-,-,-
23,-,9.4,-,-,-,1.0,1.0,0.8,-,-,-,-
24,-,10.0,-,11.4,-,3.0,Trace,Trace,_,-,,-
25,-,10.0,-,-,-,11.0,18.0,-,-,-,-,Trace
26,_,7.8,_,_,_,Trace,21.0,3.6,-,3.8,-,-
27,-,-,0.2,-,,,3.2,4.0,-,-,,-
28,-,-,4.6,-,1.0,20.0,8.4,8.8,-,-,-,-
29,,-,-,-,4.8,1.2,3.0,1.0,-,_,_,_
30,_,,-,Trace,,,,1.8,-,-,-,-
31,-,,-,,,,,0.6,,,,
