X,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,-,13.0,Trace,-,-,1.6,0.4,-,Trace,-,-,-
2,-,-,-,-,-,2.0,4.6,9.0,55.6,-,-,-
3,-,-,-,-,-,11.0,1.4,-,0.4,-,-,-
4,-,18.4,6.8,-,18.4,6.1,-,-,2.4,-,-,-
5,-,33,0.2,-,26.8,1.6,-,-,77.4,-,-,-
6,-,-,-,-,6.6,16.2,11.8,-,0.6,-,-,-
7,-,-,0.1,-,4.5,59.8,11.8,-,16.0,-,-,-
8,-,-,-,-,0.6,46.6,35.8,9.2,1.0,-,-,-
9,-,23.2,-,-,Trace,0.4,1.2,36.8,0.2,-,-,-
10,1.3,13.5,-,Trace,-,-,Trace,76.0,-,-,-,-
11,0.1,-,Trace,-,-,-,9.4,1.2,-,-,-,-
12,12.0,-,10.8,-,Trace,-,0.4,19.0,22.0,-,Trace,-
13,0.6,-,Trace,-,-,-,18.8,2.6,Trace,-,-,-
14,-,-,-,6.4,Trace,Trace,17.6,15.8,-,-,-,-
15,-,-,-,-,29.2,16.2,9.6,3.8,-,-,-,-
16,-,-,-,6.0,-,13.4,14.2,-,-,-,-,-
17,-,-,Trace,-,-,52.4,3.2,15.6,-,-,-,-
18,-,-,0.2,-,-,11.0,4.0,34.8,4.2,-,-,-
19,Trace,-,-,-,-,25.4,1.6,12.0,28.6,-,-,-
20,-,-,-,6.6,15.2,8.0,14.0,0.2,5.8,-,-,-
21,-,-,1.4,-,-,Trace,30.0,19.0,4.4,-,-,-
22,-,-,5.4,2.0,-,-,Trace,11.8,Trace,-,-,-
23,-,-,12.0,Trace,-,1.0,Trace,0.6,-,-,Trace,-
24,-,-,-,3.0,-,-,11.2,Trace,2.8,-,-,-
25,13.2,-,-,-,1.8,40.0,8.6,Trace,-,-,-,-
26,1.6,-,-,-,-,5.8,3.2,14.4,-,-,-,-
27,-,-,-,4.6,9.2,14.2,26.6,2.0,-,-,10.8,-
28,-,-,Trace,-,-,23.8,0.2,44.2,1.2,-,-,-
29,-,-,-,-,9.6,18.4,54.2,3.0,Trace,-,-,-
30,-,-,-,-,5.6,2.4,8.6,23.0,-,-,Trace,Trace
31,0.4,-,-,-,-,-,18.4,5.4,-,-,-,1.6
