X,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,-,-,-,-,6.2,Trace,1.4,-,-,4.6,-,-
2,-,Trace,-,Trace,-,4.4,1.4,Trace,1.0,0.6,-,-
3,-,-,-,Trace,Trace,8.4,-,31.6,9.0,Trace,-,-
4,-,-,-,-,-,-,1.6,4.2,-,7.8,-,-
5,-,-,-,-,-,0.2,23.2,50.6,9.0,0.4,-,-
6,0.8,-,-,-,-,-,-,13.6,47.2,3.0,-,-
7,8.2,-,-,-,-,-,4.6,3.4,0.1,-,-,6.6
8,Trace,-,1.8,0.8,8.6,-,0.4,0.6,6.6,-,-,1.0
9,-,-,-,-,0.4,1.4,1.4,12.6,14.8,-,-,-
10,-,-,-,-,2.6,9.4,-,14.4,4.0,-,-,-
11,-,-,-,-,4.2,2.2,3.8,0.4,1.2,-,-,-
12,-,-,-,-,0.2,0.4,1.0,14.0,1.0,-,-,-
13,-,-,-,-,Trace,-,-,-,2.6,-,-,-
14,-,-,-,-,6.8,-,-,-,0.2,-,-,-
15,-,-,-,-,-,4.0,-,-,3.6,-,-,-
16,-,-,-,-,Trace,3.0,8.4,Trace,1.4,-,-,-
17,-,-,-,-,2.8,1.0,43.6,-,-,Trace,-,-
18,-,-,-,-,2.6,-,5.6,19.6,2.0,-,-,-
19,-,-,-,-,2.0,17.4,25.6,2.4,8.6,Trace,-,-
20,0.1,-,-,-,2.4,-,8.4,Trace,0.2,Trace,-,-
21,0.8,-,-,-,-,-,1.4,0.4,13.6,-,-,-
22,-,Trace,-,-,-,-,Trace,0.8,8.0,-,-,-
23,-,0.2,-,-,Trace,-,0.1,0.2,7.6,-,-,-
24,0.4,7.6,Trace,-,0.6,-,0.4,-,14.4,-,-,-
25,-,-,1.2,-,-,Trace,3.0,0.4,-,-,-,-
26,-,0.4,-,-,-,4.8,2.0,0.2,Trace,-,-,-
27,Trace,-,-,-,-,3.2,83.6,-,-,-,-,-
28,26.2,0.4,-,-,3.4,16.2,18.4,-,-,-,-,-
29,-,-,-,-,-,3.4,6.8,-,-,-,-,-
30,-,-,-,-,Trace,0.6,0.8,-,24.0,-,-,-
31,-,-,-,-,6.6,-,19.8,-,-,-,-,-
