,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,-,6,-,-,42.4,-,-,-,-,-,-,-
2,-,-,-,-,1.2,-,-,-,1.6,-,-,-
3,-,1.6,-,-,5.8,-,1.6,-,1.0,-,-,-
4,-,-,-,,,,0.2,0.2,58.4,-,-,-
5,-,-,-,-,5.2,0.2,11.2,0.2,2.2,-,-,-
6,-,-,-,-,27.4,-,2.2,-,-,-,-,-
7,-,-,1.2,-,4.6,-,2.2,-,17.8,7.4,-,-
8,-,-,-,23.0,-,9.0,-,-,41.6,-,-,-
9,-,-,1.2,5.4,10.0,25.0,-,-,9.8,-,-,-
10,-,-,-,,0.4,0.6,-,-,-,-,-,-
11,-,-,-,,1.6,-,27.0,-,-,-,-,15.0
12,-,-,-,-,13.2,-,12.4,34.0,-,-,-,7.8
13,-,-,1.4,-,2.0,-,15.6,21.0,-,-,-,-
14,-,0.6,-,-,-,-,34.8,-,2.2,-,-,-
15,-,14.4,-,-,-,-,15.4,12.6,-,-,-,-
16,20.4,32.6,-,-,-,-,0.2,-,6.2,-,-,-
17,0.8,6.0,-,-,-,-,-,8.0,-,-,-,-
18,-,3.2,-,-,-,10.0,-,1.2,-,-,-,-
19,-,-,7.6,-,-,-,-,13.8,-,8.2,-,-
20,-,-,-,-,-,-,-,9.8,2.4,-,-,-
21,-,-,-,-,-,-,-,2.2,-,-,-,-
22,-,-,0.4,0.4,-,-,-,2.6,-,-,-,-
23,-,-,-,15.6,6.8,-,0.6,4.6,-,-,-,-
24,-,1.6,-,17.0,-,-,-,,,-,-,-
25,-,Trace,-,-,-,-,16.2,12.0,-,-,-,-
26,-,-,2.4,1.2,-,-,0.4,1.0,-,-,-,-
27,-,9.6,-,-,-,-,4.2,58.8,-,-,-,-
28,-,-,-,,,,,27.4,-,-,-,-
29,-,,-,16.6,3.6,-,-,18.8,-,-,-,-
30,-,,,8.6,-,-,-,,,,,
31,-,,,,,,,,,,,
