,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,-,-,-,-,-,-,0.4,51.0,1.6,-,-,-
2,-,-,Trace,Trace,-,-,6.0,23.8,0.6,-,-,-
3,-,-,-,-,-,-,36.0,1.2,52.4,-,-,-
4,0.2,-,-,Trace,-,-,21.6,-,108.2,-,-,-
5,-,-,Trace,Trace,-,-,8.0,-,30.4,-,-,-
6,-,-,Trace,-,-,-,1.6,2.4,18.0,-,-,-
7,-,-,Trace,-,Trace,-,9.6,4.4,5.0,-,-,-
8,17.6,-,1.2,-,0.8,-,6.2,7.4,10.4,-,-,-
9,45.6,-,-,-,-,-,2.6,5.4,-,-,-,Trace
10,-,1.0,-,2.8,-,-,21.4,-,-,-,Trace,Trace
11,-,0.8,2.4,6.4,-,Trace,40.0,1.6,8.2,-,-,Trace
12,-,1.8,3.2,2.6,-,16.8,1,-,0.2,-,-,-
13,-,22.0,-,-,7.0,5.8,20.0,55.0,2.2,-,-,Trace
14,3.8,24.6,-,-,-,0.6,6.0,9.0,2.2,-,-,Trace
15,7.4,-,-,0.4,-,Trace,Trace,-,0.4,-,-,-
16,-,-,-,1.2,-,-,-,6.0,-,2.2,-,-
17,-,-,-,Trace,-,17.2,18.4,16.0,-,-,-,-
18,-,2.2,-,-,-,19.8,-,-,-,-,-,-
19,2.4,0.4,-,-,Trace,4.8,6.0,9.2,-,-,-,-
20,-,-,-,-,Trace,0.4,36.2,4.6,-,-,-,0.6
21,-,-,-,-,Trace,2.2,39.0,0.6,-,-,-,0.6
22,-,16.2,-,1.4,1.2,4.4,9.0,19.4,-,-,-,13.2
23,-,Trace,-,Trace,Trace,-,1.2,-,0.2,-,-,-
24,-,-,-,-,-,-,Trace,-,0.6,-,-,-
25,-,-,0.6,-,-,-,-,1.6,5.2,-,-,-
26,-,-,4.4,-,-,-,-,11.6,Trace,-,-,-
27,-,6.0,Trace,-,-,12.6,1.0,2.8,0.2,-,Trace,-
28,-,1.8,11.0,-,-,-,13.6,11,6.4,-,-,-
29,-,-,8.4,-,-,-,Trace,27.2,0.8,-,-,-
30,-,-,Trace,-,-,Trace,-,37.4,-,-,-,-
31,-,-,-,-,-,-,3.6,0.2,-,-,-,Trace
