,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,-,7.4,Trace,_,,-,25.2,1.2,-,17.6,-,-
2,-,1.2,-,-,-,-,12.2,9.4,-,4.8,-,-
3,_,_,Trace,2.8,-,-,4.2,Trace,_,-,-,-
4,-,-,2.6,24.4,-,-,7.0,3.6,-,-,-,-
5,-,-,22.6,-,-,-,12.6,11.8,-,-,-,-
6,_,Trace,-,-,15.2,-,10.8,14.4,23.8,-,.,_
7,-,-,-,4.2,20.6,-,9.8,7.0,-,-,-,-
8,-,-,-,21.8,1.8,-,12.2,2.0,-,-,-,-
9,-,-,-,4.2,3.8,Trace,27.4,51.2,2.2,-,Trace,-
10,-,-,-,-,19.2,0.8,-,20.0,6.0,-,4.6,-
11,Trace,_,9.4,1.2,-,9.0,9.2,6.2,Trace,.,-,-
12,-,-,14.2,Trace,_,-,1.8,1.2,,-,-,-
13,-,-,4.0,-,-,-,9.2,1.2,14.2,-,-,-
14,Trace,-,-,-,8.8,-,5.2,38.2,14.0,Trace,_,_
15,5.6,-,-,_,_,Trace,45.6,57.2,16.9,90.0,-,-
16,-,0.2,-,-,9.4,33.4,24.4,3.8,2.0,13.2,-,-
17,-,-,1.4,-,-,0.2,24.2,1.4,Trace,6.0,-,-
18,-,4.0,0.4,-,6.4,-,38.4,38.2,-,,-,-
19,_,_,Trace,_,-,-,30.8,15.4,-,-,-,-
20,-,-,-,-,-,1.0,7.4,38.4,Trace,_,-,-
21,-,-,-,-,-,_,Trace,15.8,-,2.2,-,-
22,_,Trace,Trace,_,-,,-,2.6,12.6,-,-,-
23,-,6.0,Trace,_,_,_,Trace,8.6,3.0,-,_,_
24,-,40.6,7.2,7.2,-,-,-,13.8,20.0,-,-,-
25,_,3.8,_,_,Trace,-,Trace,12.0,31.0,-,-,-
26,_,Trace,-,24.4,Trace,56.4,Trace,_,,-,-,-
27,-,-,-,-,-,0.2,-,6.8,-,-,-,-
28,1.2,-,26.4,_,Trace,9.4,3.2,-,-,-,-,-
29,1.2,,4.4,-,-,11.4,-,,-,-,-,-
30,-,,_,Trace,-,7.8,Trace,-,20.0,-,-,-
31,_,,_,,_,,8.6,Trace,,-,,_
