,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,-,-,-,-,-,-,,1.6,Trace,_,_,_
2,-,3.0,,Trace,-,-,11.4,7.8,18.8,-,-,-
3,-,-,,-,-,-,2.4,8.8,2.6,-,-,-
4,-,-,,13.4,Trace,18.0,4.4,-,17.0,Trace,-,_
5,-,-,,0.2,0.8,8.4,0.6,1.4,Trace,_,_,_
6,,-,,2.4,0.6,-,0.8,26.2,0.8,1.6,-,-
7,,3.6,,-,-,-,15.0,7.2,0.6,-,-,-
8,,35.6,,-,2.2,8.6,10.2,1.8,2.4,-,-,-
9,,,-,-,8.0,0.4,Trace,39.4,-,-,-,-
10,,,-,-,2.6,3.6,-,9.6,-,-,-,-
11,12.2,,-,-,-,-,24.8,21.6,-,-,-,-
12,9.0,,_,_,Trace,0.8,13.8,3.8,-,-,-,-
13,-,,-,-,-,-,8.2,Trace,_,_,_,_
14,0.6,-,,4.6,-,-,31.8,2.2,-,-,-,-
15,17.2,-,,_,_,_,Trace,46.4,-,-,-,-
16,-,-,,-,2.0,Trace,4.6,4.6,2.6,-,-,-
17,-,-,,-,11.2,0.1,1.6,-,3.0,-,-,-
18,,-,,_,Trace,-,27.0,Trace,-,-,-,_
19,,-,,-,1.6,-,17.0,Trace,_,_,_,_
20,,3.0,,-,-,16.6,19.8,Trace,_,_,_,_
21,,1.2,,8.6,3.6,Trace,15.4,2.2,-,-,-,-
22,,6.0,,7.2,Trace,3.0,18.8,30.8,-,-,-,-
23,,,-,3.6,8.0,29.2,19.0,8.2,-,-,_,Trace
24,,,-,-,10.8,0.8,10.6,24.2,-,-,-,2.8
25,,,Trace,-,-,24.8,0.4,7.8,-,-,-,Trace
26,,,-,-,-,24.0,3.4,9.0,-,-,-,-
27,-,,-,-,7.6,7.2,17.6,4.8,-,-,-,-
28,-,-,,-,-,8.8,-,4.0,-,-,-,-
29,6.4,,,2.6,-,11.0,49.6,16.0,-,-,-,-
30,,,,1.6,-,7.6,17.4,0.4,-,-,-,-
31,,,6.4,,1.0,,2.4,2.6,,-,-,-
