,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,-,-,-,-,-,2.8,1.8,49.4,-,-,-,-
2,-,-,-,-,5.2,1.8,33.8,38.6,-,-,-,-
3,-,-,-,-,10.6,-,3.6,0.4,-,-,-,-
4,-,,-,-,4.0,3.4,0.2,0.6,-,-,2.6,-
5,-,-,-,-,8.4,-,7.8,-,-,-,-,-
6,1.8,-,-,-,-,5.4,25.4,1.4,-,-,-,-
7,-,-,6.6,-,2.2,-,0.2,56.0,-,-,-,-
8,-,-,19.4,-,5.4,-,-,25.6,6.4,1.4,-,-
9,-,-,-,-,-,-,4.8,31.4,0.6,-,-,-
10,-,-,5.4,-,-,-,2.4,31.6,4.4,-,-,-
11,1.6,2.0,80.4,-,-,-,0.2,10.4,-,-,-,-
12,12.4,6.4,9.2,-,-,7.8,8.4,4.6,-,-,-,-
13,2.4,0.2,3.0,-,-,5.8,16.6,15.6,-,0.6,-,-
14,-,0.6,-,-,-,5.4,2.6,0.8,1.0,-,-,-
15,-,-,0.8,-,-,0.4,0.6,5.8,14.8,-,-,-
16,_,Trace,0.8,11.0,-,0.2,8.2,-,2.2,-,-,-
17,-,-,0.6,19.4,13.8,7.6,16.4,29.0,10.2,-,-,-
18,_,_,-,2.8,3.0,2.4,8.2,34.8,19.6,-,-,-
19,-,-,1.8,3.2,-,-,15,6.4,2.4,-,-,-
20,-,-,-,0.6,-,-,3.0,10.4,15.6,-,-,1.6
21,-,14.8,-,-,-,4.4,37.6,2.4,6.0,-,-,-
22,-,16.6,-,-,1.2,3.4,9.2,2.0,24.6,,-,14.2
23,-,2.6,-,1.0,-,0.2,2.8,40.2,6.8,-,-,1.0
24,-,-,-,-,-,14.2,14.4,4.2,0.8,-,-,6.4
25,,-,-,19.0,-,-,4.0,14.2,-,-,-,16.8
26,-,-,10.8,0.2,-,1.6,25.0,0.2,0.2,-,-,-
27,-,25.4,10.0,1.8,-,25.0,16.6,-,-,-,-,-
28,2.2,27.6,-,-,-,0.4,1.4,-,-,,-,-
29,-,3.8,-,-,-,19.4,17.4,-,,,-,-
30,-,,-,-,-,18.8,6.0,-,-,,-,-
31,-,,-,,15.6,,25.0,-,,-,,-
